LB_NOM,Leaf,AccSpeciesID,CD_REF,FAMILLE,harvested
Fraxinus ornus,compound,25258,98933,Oleaceae,1
Fritillaria meleagris,simple,25308,98977,Liliaceae,1
Fumaria officinalis,compound,25355,99108,Papaveraceae,1
Galanthus nivalis,simple,25438,99233,Amaryllidaceae,1
Galega officinalis,compound,25451,99260,Fabaceae,1
Galeopsis ladanum,simple,25469,99305,Lamiaceae,1
Galeopsis segetum,simple,25471,99329,Lamiaceae,1
Galeopsis tetrahit,simple,25473,99334,Lamiaceae,1
Galinsoga parviflora,simple,25477,99358,Asteraceae,1
Galium album,simple,25483,99366,Rubiaceae,1
Galium aparine,simple,25487,99373,Rubiaceae,1
Galium mollugo,simple,25526,99473,Rubiaceae,1
Galium odoratum,simple,25533,99488,Rubiaceae,1
Galium palustre,simple,25535,99494,Rubiaceae,1
Galium verum,simple,25573,99582,Rubiaceae,1
Genista anglica,simple,25891,99721,Fabaceae,1
Genista cinerea,simple,25896,99735,Fabaceae,1
Genista scorpius,simple,25917,99815,Fabaceae,1
Genista tinctoria,simple,25923,99828,Fabaceae,1
Gentiana acaulis,simple,25944,99854,Gentianaceae,1
Gentiana cruciata,simple,25956,99881,Gentianaceae,1
Gentiana lutea,simple,25970,99903,Gentianaceae,1
Gentiana pneumonanthe,simple,25978,99922,Gentianaceae,1
Gentiana purpurea,simple,25984,99929,Gentianaceae,1
Gentiana verna,simple,25997,99953,Gentianaceae,1
Geranium robertianum,compound,26089,100142,Geraniaceae,1
Geranium rotundifolium,simple,26090,100144,Geraniaceae,1
Geranium sanguineum,simple,26092,100149,Geraniaceae,1
Geum montanum,compound,26140,100208,Rosaceae,1
Geum rivale,compound,26145,100215,Rosaceae,1
Geum urbanum,compound,26152,100225,Rosaceae,1
Glechoma hederacea,simple,26336,100310,Lamiaceae,1
Globularia alypum,simple,26381,100335,Plantaginaceae,1
Gratiola officinalis,simple,26836,100576,Plantaginaceae,1
Hedera helix,simple,27988,100787,Araliaceae,1
Helianthemum nummularium,simple,28106,100956,Cistaceae,1
Helianthemum nummularium,simple,28106,100956,Cistaceae,1
Helianthemum nummularium,simple,28112,100956,Cistaceae,1
Helianthemum nummularium,simple,28112,100956,Cistaceae,1
Helichrysum italicum,simple,28175,101080,Asteraceae,1
Helichrysum stoechas,simple,28185,101101,Asteraceae,1
Heliotropium europaeum,simple,28353,101144,Heliotropiaceae,1
Helleborus foetidus,compound,28383,101188,Ranunculaceae,1
Helleborus viridis,compound,28387,101202,Ranunculaceae,1
Heracleum sphondylium,compound,28473,101300,Apiaceae,1
Herniaria cinerea,simple,28561,101405,Caryophyllaceae,1
Herniaria glabra,simple,28562,101411,Caryophyllaceae,1
Herniaria hirsuta,simple,28563,101412,Caryophyllaceae,1
Hesperis matronalis,simple,28585,101460,Brassicaceae,1
Hieracium murorum,simple,28985,102235,Asteraceae,1
Hieracium umbellatum,simple,29079,102671,Asteraceae,1
Hippophae rhamnoides,simple,29221,102863,Elaeagnaceae,1
Humulus lupulus,compound,29681,103031,Cannabaceae,1
Hyacinthoides non-scripta,simple,29696,103057,Asparagaceae,1
Hyoscyamus albus,simple,29878,103178,Solanaceae,1
Hyoscyamus niger,simple,29883,103185,Solanaceae,1
Hypericum androsaemum,simple,29958,103245,Hypericaceae,1
Hypericum perforatum,simple,30010,103316,Hypericaceae,1
Hypericum pulchrum,simple,30012,103320,Hypericaceae,1
Hypericum tetrapterum,simple,30021,103329,Hypericaceae,1
Hypochaeris radicata,simple,30052,103375,Asteraceae,1
