"AccSpeciesName","AccSpeciesID","CD_REF","FAMILLE"
"Silene colorata",50197,123445,"Caryophyllaceae"
"Silene conica",50199,123448,"Caryophyllaceae"
"Silene conoidea",50200,123449,"Caryophyllaceae"
"Silene cordifolia",97727,123450,"Caryophyllaceae"
"Silene cretica",50202,123458,"Caryophyllaceae"
"Silene dichotoma",50207,123470,"Caryophyllaceae"
"Silene dioica",50209,123471,"Caryophyllaceae"
"Silene disticha",261349,123472,"Caryophyllaceae"
"Silene fuscata",97734,123484,"Caryophyllaceae"
"Silene gallica",50224,123485,"Caryophyllaceae"
"Silene inaperta",50233,123507,"Caryophyllaceae"
"Silene italica",50234,123512,"Caryophyllaceae"
"Silene latifolia",50239,123522,"Caryophyllaceae"
"Silene muscipula",50253,123555,"Caryophyllaceae"
"Silene nicaeensis",50255,123561,"Caryophyllaceae"
"Silene noctiflora",50257,123562,"Caryophyllaceae"
"Silene nocturna",50258,123563,"Caryophyllaceae"
"Silene nodulosa",97754,123564,"Caryophyllaceae"
"Silene nutans",50259,123568,"Caryophyllaceae"
"Silene otites",50261,123577,"Caryophyllaceae"
"Silene paradoxa",50262,123580,"Caryophyllaceae"
"Silene pendula",50263,123588,"Caryophyllaceae"
"Silene petrarchae",97757,161281,"Caryophyllaceae"
"Silene portensis",50266,123597,"Caryophyllaceae"
"Silene requienii",97760,123616,"Caryophyllaceae"
"Silene saxifraga",50278,123628,"Caryophyllaceae"
"Silene sedoides",50283,123632,"Caryophyllaceae"
"Silene sericea",97762,123636,"Caryophyllaceae"
"Silene succulenta",50286,123650,"Caryophyllaceae"
"Silene vallesia",97770,123669,"Caryophyllaceae"
"Silene velutina",71526,123672,"Caryophyllaceae"
"Silene viridiflora",50300,123679,"Caryophyllaceae"
"Silene vulgaris",50304,123683,"Caryophyllaceae"
"Silybum marianum",50313,123705,"Asteraceae"
"Simethis mattiazzii",97788,123708,"Asphodelaceae"
"Sinapis alba",50347,123711,"Brassicaceae"
"Sinapis arvensis",50348,123713,"Brassicaceae"
"Sinapis pubescens",50351,123751,"Brassicaceae"
"Sison amomum",50408,123773,"Apiaceae"
"Sisymbrella aspera",50409,123789,"Brassicaceae"
"Sisymbrium altissimum",50412,123799,"Brassicaceae"
"Sisymbrium austriacum",50415,123804,"Brassicaceae"
"Sisymbrium erysimoides",50418,123824,"Brassicaceae"
"Sisymbrium irio",50422,123841,"Brassicaceae"
"Sisymbrium loeselii",50424,123849,"Brassicaceae"
"Sisymbrium officinale",50427,123863,"Brassicaceae"
