LB_NOM,AccSpeciesID,CD_REF,FAMILLE,harvested
Euphrasia nemorosa,23657,97776,Orobanchaceae,1
Euphrasia officinalis,23658,97781,Orobanchaceae,1
Euthamia graminifolia,23772,97862,Asteraceae,0
Falcaria vulgaris,23910,97956,Apiaceae,0
Fallopia convolvulus,23920,97962,Polygonaceae,0
Festuca halleri,24349,98272,Poaceae,0
Festuca heterophylla,24363,98280,Poaceae,0
Festuca nigrescens,24486,98404,Poaceae,0
Festuca pallens,24513,98426,Poaceae,0
Ficaria verna,83492,98651,Ranunculaceae,1
Ficus carica,24783,98653,Moraceae,1
Filago pyramidata,24987,98699,Asteraceae,0
Fragaria viridis,25215,98868,Rosaceae,0
Fraxinus pennsylvanica,25263,98939,Oleaceae,0
Fumaria parviflora,25356,99111,Papaveraceae,0
Fumaria vaillantii,25361,99139,Papaveraceae,0
Gagea lutea,25381,99185,Liliaceae,0
Gagea spathacea,25387,99206,Liliaceae,0
Galatella linosyris,229224,99244,Asteraceae,1
Galega officinalis,25451,99260,Fabaceae,1
Galeopsis speciosa,25472,99331,Lamiaceae,0
Galeopsis tetrahit,25473,99334,Lamiaceae,1
Galinsoga quadriradiata,25478,99359,Asteraceae,0
Galium aparine,25487,99373,Rubiaceae,1
Galium glaucum,25515,99429,Rubiaceae,0
Galium saxatile,25548,99529,Rubiaceae,0
Galium verticillatum,83922,99581,Rubiaceae,0
Genista tinctoria,25923,99828,Fabaceae,1
Gentiana asclepiadea,25949,99862,Gentianaceae,0
Gentiana pneumonanthe,25978,99922,Gentianaceae,1
Geranium dissectum,26052,100052,Geraniaceae,0
Geranium pusillum,26083,100133,Geraniaceae,0
Geum montanum,26140,100208,Rosaceae,1
Geum reptans,26144,100214,Rosaceae,0
Geum urbanum,26152,100225,Rosaceae,1
Gladiolus imbricatus,26294,100273,Iridaceae,0
Gladiolus palustris,26307,100278,Iridaceae,0
Glebionis segetum,26335,100304,Asteraceae,0
Gleditsia triacanthos,26351,100330,Fabaceae,0
Globularia bisnagarica,NA,100338,Plantaginaceae,0
Globularia vulgaris,26390,100356,Plantaginaceae,0
Gymnadenia nigra,232102,100613,Orchidaceae,1
Gymnadenia odoratissima,27313,100614,Orchidaceae,0
Gymnocarpium dryopteris,27329,100636,Cystopteridaceae,0
Hedysarum hedysaroides,28041,100839,Fabaceae,0
Helianthemum marifolium,28111,100946,Cistaceae,0
Helianthus tuberosus,28156,101055,Asteraceae,0
Helichrysum stoechas,28185,101101,Asteraceae,1
Helleborus niger,28385,101196,Ranunculaceae,0
Helminthotheca echioides,85647,101210,Asteraceae,0
Helosciadium nodiflorum,85659,101221,Apiaceae,0
Heracleum sphondylium,28473,101300,Apiaceae,1
Herminium monorchis,28538,101315,Orchidaceae,0
Hieracium humile,28939,102055,Asteraceae,0
Hieracium maculatum,28978,102189,Asteraceae,0
Hieracium prenanthoides,29024,102392,Asteraceae,0
Hippocrepis comosa,29208,102842,Fabaceae,0
Hippocrepis emerus,29209,102845,Fabaceae,0
Hirschfeldia incana,NA,102876,Brassicaceae,0
Homogyne alpina,29404,102925,Asteraceae,0
Hordeum jubatum,29525,102964,Poaceae,0
Hordeum marinum,29528,102968,Poaceae,0
Hydrocharis morsus-ranae,NA,103120,Hydrocharitaceae,0
Hydrocotyle vulgaris,29766,103142,Araliaceae,0
Hylotelephium telephium,430714,103162,Crassulaceae,1
Hyparrhenia hirta,29919,103216,Poaceae,0
Hypericum humifusum,29986,103288,Hypericaceae,0
Hypericum montanum,30003,103301,Hypericaceae,0
Hypericum pulchrum,30012,103320,Hypericaceae,1
Hypochaeris glabra,30049,103364,Asteraceae,0
Hypochaeris maculata,30050,103369,Asteraceae,0
Hypochaeris uniflora,30055,103383,Asteraceae,0
Impatiens balfourii,30375,103543,Balsaminaceae,0
Inula britannica,NA,103598,Asteraceae,0
Inula helenium,30677,103627,Asteraceae,1
Inula salicina,30688,103648,Asteraceae,0
Iris graminea,30855,103738,Iridaceae,0
Iris sibirica,30875,103777,Iridaceae,0
Isolepis setacea,31167,103898,Cyperaceae,0
Jacobaea alpina,235384,610648,Asteraceae,1
Jacobaea incana,235392,610642,Asteraceae,1
Jacobaea maritima,235396,610643,Asteraceae,1
Jacobaea paludosa,235398,103995,Asteraceae,0
Juncus acutiflorus,31444,104101,Juncaceae,0
Juncus alpinoarticulatus,31446,104111,Juncaceae,0
Juncus articulatus,31454,104126,Juncaceae,0
Juncus compressus,31471,104155,Juncaceae,0
Juncus maritimus,31496,104246,Juncaceae,0
Juniperus communis,31556,104397,Cupressaceae,1
Kickxia elatine,31770,104502,Plantaginaceae,1
Koeleria macrantha,31934,104644,Poaceae,0
Laburnum alpinum,32074,104715,Fabaceae,0
Laburnum anagyroides,32075,104716,Fabaceae,0
Lactuca quercina,32126,104766,Asteraceae,0
Lactuca virosa,32139,104787,Asteraceae,1
Lamium galeobdolon,32235,104876,Lamiaceae,1
Laphangium luteoalbum,NA,610681,Asteraceae,0
Larix decidua,32364,105042,Pinaceae,1
Laserpitium siler,32394,105092,Apiaceae,0
Lathyrus hirsutus,32477,105201,Fabaceae,0
Lathyrus japonicus,32481,105206,Fabaceae,0
Lathyrus pannonicus,32497,105241,Fabaceae,0
Leersia oryzoides,32666,105400,Poaceae,0
Lemna minor,32703,105431,Araceae,1
Leontodon crispus,32725,105490,Asteraceae,0
Leontodon hispidus,32728,105502,Asteraceae,0
Leontodon saxatilis,NA,105521,Asteraceae,0
Lepidium coronopus,237342,984396,Brassicaceae,0
Lepidium didymum,88228,105615,Brassicaceae,0
Lepidium latifolium,32784,105641,Brassicaceae,0
Lepidium sativum,32802,105673,Brassicaceae,0
Lepidium virginicum,32810,105689,Brassicaceae,0
Leucanthemum ircutianum,33146,105795,Asteraceae,0
Leucojum vernum,33166,105841,Amaryllidaceae,0
Libanotis pyrenaica,88418,610580,Apiaceae,0
Ligularia sibirica,33402,105908,Asteraceae,0
Lilium martagon,33444,105989,Liliaceae,1
Limonium binervosum,33492,106047,Plumbaginaceae,0
Limonium echioides,88585,106070,Plumbaginaceae,0
Limonium vulgare,33506,106112,Plumbaginaceae,0
Linnaea borealis,33616,106260,Caprifoliaceae,0
Linum austriacum,33632,106280,Linaceae,0
Linum usitatissimum,33662,106349,Linaceae,0
Lithospermum officinale,33806,106396,Boraginaceae,1
Lolium remotum,34021,106504,Poaceae,0
Lolium temulentum,34023,106517,Poaceae,0
Lonicera japonica,34141,106571,Caprifoliaceae,0
Lotus dorycnium,436240,106664,Fabaceae,0
Luzula multiflora,34502,106842,Juncaceae,0
Lychnis coronaria,34524,106910,Caryophyllaceae,0
Lysimachia arvensis,3410,610909,Primulaceae,1
Lysimachia tenella,NA,107085,Primulaceae,0
Lythrum virgatum,34678,107126,Lythraceae,0
Malus sylvestris,35256,107217,Rosaceae,1
Malva alcea,35262,107224,Malvaceae,1
Malva sylvestris,35274,107318,Malvaceae,1
Matricaria discoidea,35672,107446,Asteraceae,1
Medicago littoralis,35824,107647,Fabaceae,0
Medicago marina,35826,107654,Fabaceae,0
Medicago orbicularis,35832,107677,Fabaceae,0
Medicago polyceratia,90181,107688,Fabaceae,0
Medicago polymorpha,35836,107689,Fabaceae,0
Melampyrum arvense,35984,107786,Orobanchaceae,1
Melica ciliata,36062,107851,Poaceae,0
Melilotus altissimus,459564,107887,Fabaceae,1
Mentha longifolia,36274,108103,Lamiaceae,1
Mentha suaveolens,36283,108168,Lamiaceae,1
Mercurialis tomentosa,90395,108367,Euphorbiaceae,0
Milium effusum,36750,108537,Poaceae,0
Minuartia recurva,36913,108612,Caryophyllaceae,0
Moehringia muscosa,37010,108686,Caryophyllaceae,0
Montia fontana,37208,108785,Montiaceae,0
Mutellina adonidifolia,NA,610917,Apiaceae,0
Myagrum perfoliatum,37477,108948,Brassicaceae,0
Myosotis discolor,37499,109019,Boraginaceae,0
Myosotis laxa,37500,109042,Boraginaceae,0
Myosotis sylvatica,37514,109104,Boraginaceae,1
Myriophyllum aquaticum,37610,109141,Haloragaceae,0
Neotinea tridentata,243838,162206,Orchidaceae,0
Nepeta nuda,38048,109534,Lamiaceae,0
Nicandra physalodes,38185,109600,Solanaceae,0
Noccaea alpestris,440607,109665,Brassicaceae,0
Nuphar pumila,38366,109735,Nymphaeaceae,1
Nymphoides peltata,38398,109769,Menyanthaceae,0
Odontites luteus,38637,109838,Orobanchaceae,0
Oenanthe crocata,38665,109864,Apiaceae,0
Olea europaea,38823,110002,Oleaceae,0
Ononis minutissima,38987,110205,Fabaceae,0
Ononis pusilla,38991,110221,Fabaceae,0
Ononis striata,70007,110237,Fabaceae,0
Ononis variegata,39000,110239,Fabaceae,0
Onosma arenaria,39012,110290,Boraginaceae,0
Ophioglossum vulgatum,39048,110313,Ophioglossaceae,0
Orchis mascula,39152,110914,Orchidaceae,1
Orchis militaris,39153,110920,Orchidaceae,0
Oreochloa disticha,39181,111233,Poaceae,0
Orlaya platycarpos,442666,111301,Apiaceae,0
Ornithogalum umbellatum,39286,111391,Asparagaceae,1
Ornithopus perpusillus,39289,111419,Fabaceae,0
Oryza sativa,39381,111793,Poaceae,0
Oxalis corniculata,39576,111876,Oxalidaceae,0
Pancratium maritimum,39903,112070,Amaryllidaceae,0
Panicum virgatum,40121,112259,Poaceae,0
Papaver rhoeas,40195,112355,Papaveraceae,1
Parietaria judaica,40305,112410,Urticaceae,1
Paronychia arabica,92555,112428,Caryophyllaceae,0
Paronychia argentea,40390,112429,Caryophyllaceae,0
Paronychia capitata,40392,112431,Caryophyllaceae,0
Pedicularis gyroflexa,40695,997256,Orobanchaceae,0
Pedicularis kerneri,64717,112584,Orobanchaceae,0
Pedicularis pyrenaica,92698,112591,Orobanchaceae,0
Pedicularis tuberosa,40713,112602,Orobanchaceae,0
Persicaria amphibia,41183,112727,Polygonaceae,0
Petasites albus,41260,112778,Asteraceae,0
Petasites hybridus,41263,112783,Asteraceae,1
Petrocallis pyrenaica,41282,112803,Brassicaceae,0
Phagnalon saxatile,41414,112935,Asteraceae,0
Phegopteris connectilis,41470,113079,Thelypteridaceae,0
Philadelphus coronarius,41481,113134,Hydrangeaceae,0
Phleum phleoides,41548,113219,Poaceae,0
Phlomis lychnitis,41561,113243,Lamiaceae,0
Phyla nodiflora,41673,113294,Verbenaceae,0
Physostegia virginiana,41870,1032086,Lamiaceae,0
Phyteuma spicatum,41893,113407,Campanulaceae,0
Picris hieracioides,41971,113474,Asteraceae,0
Pilosella officinarum,42016,113525,Asteraceae,1
Pilularia globulifera,42021,113547,Marsileaceae,0
Pinguicula alpina,42087,113609,Lentibulariaceae,0
Pinguicula vulgaris,42090,113639,Lentibulariaceae,0
Pinus brutia,42101,162292,Pinaceae,0
Pinus pinaster,42166,113689,Pinaceae,1
Pittosporum undulatum,42441,113786,Pittosporaceae,0
Plantago arenaria,42510,113809,Plantaginaceae,1
Plantago argentea,42511,113810,Plantaginaceae,0
Plantago major,42544,113904,Plantaginaceae,1
Platanthera chlorantha,42575,114012,Orchidaceae,0
Platycladus orientalis,42606,114037,Cupressaceae,0
Poa chaixii,42818,114153,Poaceae,0
Poa trivialis,42893,114416,Poaceae,0
Polygala amarella,43114,114526,Polygalaceae,0
Polygala serpyllifolia,43176,114589,Polygalaceae,0
Polygonatum multiflorum,43204,114611,Asparagaceae,1
Polygonum maritimum,43255,114779,Polygonaceae,0
Polypodium vulgare,43323,115016,Polypodiaceae,1
Polystichum lonchitis,43410,115061,Dryopteridaceae,0
Pontederia cordata,43476,115096,Pontederiaceae,0
Populus alba,43493,115110,Salicaceae,1
Populus tremula,43532,115156,Salicaceae,1
Potamogeton berchtoldii,43599,115233,Potamogetonaceae,0
Potamogeton crispus,43603,115245,Potamogetonaceae,0
Potamogeton polygonifolius,43621,115301,Potamogetonaceae,0
Potentilla aurea,43642,115414,Rosaceae,0
Potentilla caulescens,43648,115431,Rosaceae,0
Potentilla intermedia,43683,115530,Rosaceae,0
Potentilla norvegica,43700,115575,Rosaceae,0
Poterium sanguisorba,48233,115789,Rosaceae,1
Prospero autumnale,254981,115975,Asparagaceae,0
Prunella grandiflora,44285,1030499,Lamiaceae,0
Prunella laciniata,44287,115998,Lamiaceae,0
Prunus persica,44392,116112,Rosaceae,0
Pseudorchis albida,44553,116206,Orchidaceae,0
Pulicaria dysenterica,45023,116392,Asteraceae,1
Pulsatilla vulgaris,45061,116460,Ranunculaceae,1
Pyrola media,45186,116542,Ericaceae,0
Pyrus spinosa,45258,116610,Rosaceae,0
Quercus coccifera,45348,116672,Fagaceae,0
Quercus rubra,45473,116762,Fagaceae,0
Rabelera holostea,51629,999933,Caryophyllaceae,1
Ranunculus aconitifolius,45586,116902,Ranunculaceae,0
Ranunculus breyninus,45611,116948,Ranunculaceae,0
Ranunculus flammula,45634,117025,Ranunculaceae,0
Ranunculus fluitans,45635,117027,Ranunculaceae,0
Ranunculus lateriflorus,45661,117090,Ranunculaceae,0
Ranunculus platanifolius,45715,117174,Ranunculaceae,0
Ranunculus sceleratus,45748,117224,Ranunculaceae,1
Rapistrum rugosum,45813,117393,Brassicaceae,0
Reichardia picroides,45882,117426,Asteraceae,0
Reseda lutea,45914,117458,Resedaceae,0
Rhamnus alaternus,45976,117526,Rhamnaceae,0
Rhaponticum centauroides,375331,717862,Asteraceae,0
Rhodiola rosea,46137,117668,Crassulaceae,1
Ribes nigrum,46517,117766,Grossulariaceae,0
Rorippa amphibia,46693,117933,Brassicaceae,0
Rorippa sylvestris,46713,117951,Brassicaceae,0
Rosa agrestis,46716,117986,Rosaceae,0
Rosa multiflora,46762,118353,Rosaceae,0
Rosa pendulina,46768,118397,Rosaceae,1
Rostraria cristata,46815,118872,Poaceae,0
Rubus caesius,46948,118993,Rosaceae,0
Rubus saxatilis,47326,119318,Rosaceae,0
Rumex longifolius,47488,119525,Polygonaceae,0
Ruppia maritima,47527,119691,Ruppiaceae,0
Ruta angustifolia,47568,119707,Rutaceae,0
Sabulina tenuifolia,451564,119753,Caryophyllaceae,0
Sabulina verna,451567,119754,Caryophyllaceae,0
Sagina apetala,47695,119780,Caryophyllaceae,0
Sagina procumbens,47706,119818,Caryophyllaceae,0
Sagittaria graminea,96466,119850,Alismataceae,0
Salix aurita,47791,119952,Salicaceae,0
Salix myrsinifolia,47888,120135,Salicaceae,1
Salvia verbenaca,48185,120700,Lamiaceae,0
Salvinia natans,48192,120709,Salviniaceae,0
Sanguisorba officinalis,48235,120758,Rosaceae,1
Santolina chamaecyparissus,48303,120785,Asteraceae,1
Satureja montana,48472,120908,Lamiaceae,1
Saussurea alpina,48547,120949,Asteraceae,0
Saxifraga androsacea,48581,120973,Saxifragaceae,0
Saxifraga cotyledon,48595,121024,Saxifragaceae,0
Saxifraga granulata,48601,121065,Saxifragaceae,1
Saxifraga tridactylites,48631,121201,Saxifragaceae,0
Scandix stellata,71280,121455,Apiaceae,0
Scleranthus annuus,49087,121823,Caryophyllaceae,1
Scolymus hispanicus,49193,121901,Asteraceae,0
Scrophularia canina,49226,122003,Scrophulariaceae,0
Secale cereale,49321,122085,Poaceae,0
Sedum alpestre,49364,122107,Crassulaceae,0
