"CD_REF_vasc_2018","Nom.scientifique_vasc_2018","CD_REF","LB_NOM","FAMILLE","taxonomy"
81443,"Allium narcissiflorum Vill., 1779",81443,"Allium narcissiflorum","Amaryllidaceae","unchanged"
81445,"Allium neapolitanum Cirillo, 1788",81445,"Allium neapolitanum","Amaryllidaceae","unchanged"
81449,"Allium nigrum L., 1762",81449,"Allium nigrum","Amaryllidaceae","unchanged"
81457,"Allium oleraceum L., 1753",81457,"Allium oleraceum","Amaryllidaceae","unchanged"
81459,"Allium oporinanthum Brullo, Pavone & Salmeri, 1977",81459,"Allium oporinanthum","Amaryllidaceae","unchanged"
81463,"Allium pallens L., 1762",81463,"Allium pallens","Amaryllidaceae","unchanged"
81468,"Allium parciflorum Viv., 1825",81468,"Allium parciflorum","Amaryllidaceae","unchanged"
81473,"Allium pendulinum Ten., 1815",81473,"Allium pendulinum","Amaryllidaceae","unchanged"
81479,"Allium polyanthum Schult. & Schult.f., 1830",81479,"Allium polyanthum","Amaryllidaceae","unchanged"
81499,"Allium roseum L., 1753",81499,"Allium roseum","Amaryllidaceae","unchanged"
81501,"Allium rotundum L., 1762",81501,"Allium rotundum","Amaryllidaceae","unchanged"
81505,"Allium sativum L., 1753",81505,"Allium sativum","Amaryllidaceae","unchanged"
81506,"Allium savii Parl., 1857",81506,"Allium savii","Amaryllidaceae","unchanged"
81507,"Allium scaberrimum J.Serres, 1857",81507,"Allium scaberrimum","Amaryllidaceae","unchanged"
81508,"Allium schoenoprasum L., 1753",81508,"Allium schoenoprasum","Amaryllidaceae","unchanged"
81510,"Allium scorodoprasum L., 1753",81510,"Allium scorodoprasum","Amaryllidaceae","unchanged"
81516,"Allium siculum Ucria, 1793",81516,"Allium siculum","Amaryllidaceae","unchanged"
81520,"Allium sphaerocephalon L., 1753",81520,"Allium sphaerocephalon","Amaryllidaceae","unchanged"
81522,"Allium strictum Schrad., 1809",81522,"Allium strictum","Amaryllidaceae","unchanged"
81523,"Allium suaveolens Jacq., 1789",81523,"Allium suaveolens","Amaryllidaceae","unchanged"
81525,"Allium subhirsutum L., 1753",81525,"Allium subhirsutum","Amaryllidaceae","unchanged"
81530,"Allium tenuiflorum Ten., 1815",81530,"Allium tenuiflorum","Amaryllidaceae","unchanged"
81537,"Allium trifoliatum Cirillo, 1792",81537,"Allium trifoliatum","Amaryllidaceae","unchanged"
81538,"Allium triquetrum L., 1753",81538,"Allium triquetrum","Amaryllidaceae","unchanged"
81541,"Allium ursinum L., 1753",81541,"Allium ursinum","Amaryllidaceae","unchanged"
81543,"Allium victorialis L., 1753",81543,"Allium victorialis","Amaryllidaceae","unchanged"
81544,"Allium vineale L., 1753",81544,"Allium vineale","Amaryllidaceae","unchanged"
717069,"Allosorus acrosticus (Balb.) Christenh., 2012",959200,"Oeosporangium acrosticum","Pteridaceae","name_changed"
717070,"Allosorus guanchicus (Bolle) Christenh., 2012",959208,"Oeosporangium guanchicum","Pteridaceae","name_changed"
717071,"Allosorus hispanicus (Mett.) Christenh., 2012",959211,"Oeosporangium hispanicum","Pteridaceae","name_changed"
717072,"Allosorus pteridioides (Reichard) Christenh., 2012",959230,"Oeosporangium pteridioides","Pteridaceae","name_changed"
717073,"Allosorus tinaei (Tod.) Christenh., 2012",959234,"Oeosporangium tinaei","Pteridaceae","name_changed"
81563,"Alnus alnobetula (Ehrh.) K.Koch, 1872",81563,"Alnus alnobetula","Betulaceae","unchanged"
81567,"Alnus cordata (Loisel.) Duby, 1828",81567,"Alnus cordata","Betulaceae","unchanged"
81569,"Alnus glutinosa (L.) Gaertn., 1790",81569,"Alnus glutinosa","Betulaceae","unchanged"
81570,"Alnus incana (L.) Moench, 1794",81570,"Alnus incana","Betulaceae","unchanged"
81588,"Aloe arborescens Mill., 1768",81588,"Aloe arborescens","Asphodelaceae","unchanged"
81595,"Aloe maculata All., 1773",81595,"Aloe maculata","Asphodelaceae","unchanged"
81610,"Alopecurus aequalis Sobol., 1799",81610,"Alopecurus aequalis","Poaceae","unchanged"
81620,"Alopecurus arundinaceus Poir., 1808",81620,"Alopecurus arundinaceus","Poaceae","unchanged"
81624,"Alopecurus bulbosus Gouan, 1762",81624,"Alopecurus bulbosus","Poaceae","unchanged"
81637,"Alopecurus geniculatus L., 1753",81637,"Alopecurus geniculatus","Poaceae","unchanged"
81638,"Alopecurus gerardi Vill., 1786",81638,"Alopecurus gerardi","Poaceae","unchanged"
81648,"Alopecurus myosuroides Huds., 1762",81648,"Alopecurus myosuroides","Poaceae","unchanged"
81656,"Alopecurus pratensis L., 1753",81656,"Alopecurus pratensis","Poaceae","unchanged"
81658,"Alopecurus rendlei Eig, 1937",81658,"Alopecurus rendlei","Poaceae","unchanged"
639101,"Aloysia citriodora Pal�u, 1784",639101,"Aloysia citrodora","Verbenaceae","unchanged"
81831,"Alternanthera philoxeroides (Mart.) Griseb., 1879",81831,"Alternanthera philoxeroides","Amaranthaceae","unchanged"
81837,"Althaea cannabina L., 1753",81837,"Althaea cannabina","Malvaceae","unchanged"
81856,"Althaea officinalis L., 1753",81856,"Althaea officinalis","Malvaceae","unchanged"
81869,"Althenia filiformis Petit, 1829",81869,"Althenia filiformis","Potamogetonaceae","unchanged"
81875,"Alyssoides utriculata (L.) Medik., 1789",81875,"Alyssoides utriculata","Brassicaceae","unchanged"
81876,"Alyssum alpestre L., 1767",81876,"Alyssum alpestre","Brassicaceae","unchanged"
