"NOM_VALIDE","CD_REF","Cosmetics","Crafts","Food and Beverages","Medical/Therapeutic","Ornamental Plants","Other"
"Charybdis maritima (L.) Speta, 1998",161772,0,1,1,1,0,1
"Chelidonium majus L., 1753",90669,0,0,1,3,0,2
"Chenopodium album L., 1753",90681,0,1,2,3,0,1
"Chenopodium vulvaria L., 1753",90836,0,0,0,3,0,0
"Chiliadenus glutinosus (L.) Fourr., 1869",717139,0,0,0,1,0,0
"Chondrilla juncea L., 1753",90954,0,0,0,1,0,0
"Cichorium intybus L., 1753",91169,0,0,3,2,0,1
"Cicuta virosa L., 1753",91199,0,0,0,2,0,1
"Cirsium acaulon (L.) Scop., 1769",621080,0,0,0,2,0,0
"Cirsium arvense (L.) Scop., 1772",91289,0,0,1,3,0,2
"Cistus ladanifer L., 1753",91680,0,1,2,3,0,2
"Clematis recta L., 1753",91880,0,0,0,3,0,0
"Clematis vitalba L., 1753",91886,0,1,2,3,0,2
"Clinopodium grandiflorum (L.) Kuntze, 1891",91904,1,0,1,2,0,0
"Clinopodium nepeta (L.) Kuntze, 1891",91910,0,0,1,1,0,1
"Clinopodium vulgare L., 1753",91912,0,0,1,3,0,1
"Cochlearia officinalis L., 1753",92052,0,0,0,2,0,1
"Colchicum autumnale L., 1753",92127,0,1,0,3,1,1
"Colutea arborescens L., 1753",92196,0,1,1,3,1,2
"Conium maculatum L., 1753",92237,0,0,0,3,0,1
"Convallaria majalis L., 1753",92282,0,1,0,3,0,1
"Convolvulus arvensis L., 1753",92302,0,0,1,3,0,2
"Convolvulus sepium L., 1753",92353,0,0,0,2,0,0
"Coriaria myrtifolia L., 1753",92467,0,1,0,2,0,1
"Cormus domestica (L.) Spach, 1834",92488,0,2,2,2,0,2
"Cornus mas L., 1753",92497,0,3,3,3,0,2
"Cornus sanguinea L., 1753",92501,0,3,1,3,0,2
"Corrigiola litoralis L., 1753",92566,0,1,0,2,0,0
"Corylus avellana L., 1753",92606,0,3,2,3,1,2
"Cotinus coggygria Scop., 1771",92631,0,2,1,3,0,2
"Crataegus azarolus L., 1753",92824,0,1,2,2,0,1
"Crataegus germanica (L.) Kuntze, 1891",92854,0,1,1,1,0,1
"Crataegus laevigata (Poir.) DC., 1825",92864,0,1,2,3,0,1
"Crataegus monogyna Jacq., 1775",92876,0,2,3,2,0,2
"Crepis sancta (L.) Bornm., 1913",93129,0,0,1,1,0,0
"Crepis vesicaria L., 1753",93157,0,0,1,2,0,0
"Crithmum maritimum L., 1753",93190,0,0,1,3,0,1
"Cruciata laevipes Opiz, 1852",93308,0,0,0,3,0,0
"Cupressus sempervirens L., 1753",93590,0,2,0,3,0,2
"Cuscuta epithymum (L.) L., 1774",93621,0,0,0,2,0,0
"Cuscuta europaea L., 1753",93623,0,0,0,1,0,1
"Cyanus montanus (L.) Hill, 1768",93673,0,0,0,2,0,1
"Cyanus segetum Hill, 1762",93680,0,0,0,2,0,2
"Cyclamen purpurascens Mill., 1768",93708,0,1,0,1,0,0
"Cynodon dactylon (L.) Pers., 1805",93803,0,1,1,3,1,1
"Cynoglossum officinale L., 1753",93840,0,0,0,3,0,1
"Cyperus longus L., 1753",93967,0,1,3,2,0,2
"Cyperus rotundus L., 1753",94011,0,1,2,3,0,2
"Cytisus scoparius (L.) Link, 1822",94164,0,2,2,3,1,2
"Dactylis glomerata L., 1753",94207,0,0,0,3,1,1
"Dactylorhiza maculata (L.) Soó, 1962",94266,0,0,0,2,0,0
"Daphne gnidium L., 1753",94427,0,1,0,3,0,1
"Daphne laureola L., 1753",94432,0,1,0,2,0,1
"Daphne mezereum L., 1753",94435,0,0,1,3,0,1
"Datura stramonium L., 1753",94489,0,1,1,2,0,1
"Daucus carota L., 1753",94503,0,1,3,3,0,2
"Delphinium consolida L., 1753",94572,0,0,0,2,0,1
"Deschampsia cespitosa (L.) P.Beauv., 1812",94626,0,1,0,1,0,1
"Descurainia sophia (L.) Webb ex Prantl, 1891",94645,0,0,2,3,0,1
"Dianthus carthusianorum L., 1753",94716,0,0,0,1,0,1
"Dictamnus albus L., 1753",94923,0,0,1,2,0,1
"Digitalis lutea L., 1753",94945,0,0,0,3,0,0
"Digitalis purpurea L., 1753",94959,0,1,0,3,0,1
"Dioscorea communis (L.) Caddick & Wilkin, 2002",611652,0,0,2,2,0,2
"Diplotaxis tenuifolia (L.) DC., 1821",95136,0,0,0,2,0,1
"Dipsacus fullonum L., 1753",95149,0,1,1,3,0,1
"Dittrichia graveolens (L.) Greuter, 1973",95186,0,0,0,2,0,1
"Dittrichia viscosa (L.) Greuter, 1973",95187,0,1,0,2,0,0
"Doronicum pardalianches L., 1753",95239,0,0,0,3,0,1
"Dracunculus vulgaris Schott, 1832",95425,0,0,0,1,0,1
"Drosera anglica Huds., 1778",95436,0,0,0,1,0,1
"Drosera intermedia Hayne, 1798",95438,0,0,0,1,0,0
"Drosera rotundifolia L., 1753",95442,0,0,0,2,0,1
"Dryas octopetala L., 1753",95461,0,0,2,3,0,2
"Dryopteris filix-mas (L.) Schott, 1834",95567,0,0,0,3,0,2
"Dysphania ambrosioides (L.) Mosyakin & Clemants, 2002",611753,0,1,1,1,0,1
"Dysphania botrys (L.) Mosyakin & Clemants, 2002",611755,0,0,0,2,0,1
"Ecballium elaterium (L.) A.Rich., 1824",95662,0,0,0,3,0,1
"Echium vulgare L., 1753",95793,0,0,0,3,0,1
"Eclipta prostrata (L.) L., 1771",95806,0,1,1,2,0,1
"Elytrigia repens (L.) Desv. ex Nevski, 1934",96046,0,1,2,3,1,2
"Ephedra distachya L., 1753",96101,0,1,0,2,0,0
"Epilobium hirsutum L., 1753",96180,0,1,3,3,0,1
"Epilobium montanum L., 1753",96208,0,0,1,1,0,0
"Epilobium palustre L., 1753",96226,0,0,0,2,0,0
"Epilobium parviflorum Schreb., 1771",96229,0,0,0,2,0,0
"Epilobium roseum Schreb., 1771",96251,0,0,0,1,0,0
"Epilobium tetragonum L., 1753",96271,0,0,1,2,0,0
"Equisetum arvense L., 1753",96508,0,1,2,3,0,3
"Equisetum hyemale L., 1753",96523,0,1,0,3,0,2
"Equisetum palustre L., 1753",96534,0,0,0,2,0,1
"Equisetum sylvaticum L., 1753",96545,0,1,0,2,0,0
"Equisetum telmateia Ehrh., 1783",96546,0,0,0,2,0,1
"Equisetum variegatum Schleich. ex F.Weber & D.Mohr, 1807",762284,0,0,0,1,0,0
"Erica carnea L., 1753 [nom. cons.]",96664,0,0,0,1,0,0
"Erica ciliaris L., 1753",96665,0,0,0,0,0,1
"Erica cinerea L., 1753",96667,0,0,0,2,0,1
"Erica scoparia L., 1753",96691,0,1,0,1,0,1
"Erigeron acris L., 1753",611688,0,0,0,2,0,0
"Erigeron canadensis L., 1753",96749,0,1,1,1,0,1
"Erodium cicutarium (L.) L'Hér., 1789",96895,0,1,1,3,0,2
"Eryngium campestre L., 1753",97141,0,0,0,2,0,1
"Erysimum cheiri (L.) Crantz, 1769",97185,0,0,0,3,0,0
"Euonymus europaeus L., 1753",609982,0,2,1,3,0,1
"Eupatorium cannabinum L., 1753",97434,0,1,0,2,0,1
"Euphorbia amygdaloides L., 1753",97452,0,0,0,2,0,1
"Euphorbia cyparissias L., 1753",97490,0,0,0,2,0,1
"Euphorbia helioscopia L., 1753",97537,0,0,1,3,0,1
"Euphorbia lathyris L., 1753",97556,0,1,2,3,0,2
"Euphorbia palustris L., 1753",97601,0,1,0,2,0,0
"Euphrasia officinalis L., 1753",97781,0,0,0,2,0,0
"Fagus sylvatica L., 1753",97947,0,2,2,3,0,1
"Ferula communis L., 1753",98020,0,1,1,3,0,2
"Ferula glauca L., 1753",98023,0,0,0,1,0,0
"Ficaria verna Huds., 1762",98651,0,0,1,2,0,1
"Ficus carica L., 1753",98653,0,1,2,3,0,1
"Filipendula ulmaria (L.) Maxim., 1879",98717,0,1,2,3,0,1
"Filipendula vulgaris Moench, 1794",98718,0,0,0,3,0,1
"Foeniculum vulgare Mill., 1768",98756,0,1,3,3,0,2
"Fragaria vesca L., 1753",98865,0,1,3,3,0,1
"Frangula alnus Mill., 1768",98887,0,1,0,2,0,1
"Fraxinus angustifolia Vahl, 1804 [nom. cons.]",98910,0,1,1,2,0,1
"Fraxinus excelsior L., 1753",98921,0,3,2,3,0,2
"Fraxinus ornus L., 1753",98933,0,1,0,3,0,1
"Fritillaria meleagris L., 1753",98977,0,0,0,0,0,1
