"NOM_VALIDE","CD_REF","SOURCE","SELECTED_TYPOLOGY_ENG"
"Ligustrum vulgare L., 1753",105966,"KEW","Other"
"Lilium bulbiferum L., 1753",105979,"KEW","Other"
"Lilium martagon L., 1753",105989,"KEW","Other"
"Lonicera periclymenum L., 1753",106581,"KEW","Other"
"Lysimachia nummularia L., 1753",107073,"KEW","Other"
"Lythrum salicaria L., 1753",107117,"KEW","Other"
"Malva alcea L., 1753",107224,"KEW","Other"
"Malva moschata L., 1753",107282,"KEW","Other"
"Malva sylvestris L., 1753",107318,"KEW","Other"
"Marrubium vulgare L., 1753",107397,"KEW","Other"
"Melissa officinalis L., 1753",107992,"KEW","Other"
"Mentha aquatica L., 1753",108027,"KEW","Other"
"Mentha longifolia (L.) Huds., 1762",108103,"KEW","Other"
"Mentha pulegium L., 1753",108138,"KEW","Other"
"Mentha suaveolens Ehrh., 1792",108168,"KEW","Other"
"Menyanthes trifoliata L., 1753",108345,"KEW","Other"
"Myosotis sylvatica Hoffm., 1791",109104,"KEW","Other"
"Myrica gale L., 1753",109130,"KEW","Other"
"Myrrhis odorata (L.) Scop., 1771",109161,"KEW","Other"
"Myrtus communis L., 1753",109186,"KEW","Other"
"Narcissus poeticus L., 1753",109291,"KEW","Other"
"Narcissus pseudonarcissus L., 1753",109297,"KEW","Other"
"Nasturtium officinale W.T.Aiton, 1812",109422,"KEW","Other"
"Nigella damascena L., 1753",109625,"KEW","Other"
"Nymphaea alba L., 1753",109750,"KEW","Other"
"Oenothera biennis L., 1753",109911,"KEW","Other"
"Onopordum acanthium L., 1753",110244,"KEW","Other"
"Ornithogalum umbellatum L., 1753",111391,"KEW","Other"
"Osmunda regalis L., 1753",111815,"KEW","Other"
"Paeonia officinalis L., 1753",112042,"KEW","Other"
"Paliurus spina-christi Mill., 1768",112061,"KEW","Other"
"Papaver rhoeas L., 1753",112355,"KEW","Other"
"Paris quadrifolia L., 1753",112421,"KEW","Other"
"Parthenocissus tricuspidata (Siebold & Zucc.) Planch., 1887",112467,"KEW","Other"
"Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb., 1801",112783,"KEW","Other"
"Phytolacca americana L., 1753",113418,"KEW","Other"
"Picea abies (L.) H.Karst., 1881",113432,"KEW","Other"
"Pimpinella major (L.) Huds., 1762",113579,"KEW","Other"
"Pimpinella saxifraga L., 1753",113596,"KEW","Other"
"Pinus halepensis Mill., 1768",113665,"KEW","Other"
"Pinus mugo Turra, 1764",113682,"KEW","Other"
"Pinus pinaster Aiton, 1789",113689,"KEW","Other"
"Pinus pinea L., 1753",113690,"KEW","Other"
"Pinus sylvestris L., 1753",113703,"KEW","Other"
"Plumbago europaea L., 1753",114080,"KEW","Other"
"Polygonatum multiflorum (L.) All., 1785",114611,"KEW","Other"
"Polygonatum odoratum (Mill.) Druce, 1906",114612,"KEW","Other"
"Polypodium vulgare L., 1753",115016,"KEW","Other"
"Populus alba L., 1753",115110,"KEW","Other"
"Populus nigra L., 1753",115145,"KEW","Other"
"Populus tremula L., 1753",115156,"KEW","Other"
"Potamogeton natans L., 1753",115280,"KEW","Other"
"Potentilla erecta (L.) Raeusch., 1797",115470,"KEW","Other"
"Primula elatior (L.) Hill, 1765",115865,"KEW","Other"
"Primula veris L., 1753",115918,"KEW","Other"
"Prunus avium (L.) L., 1755",116043,"KEW","Other"
"Prunus laurocerasus L., 1753",116089,"KEW","Other"
"Prunus mahaleb L., 1753",116096,"KEW","Other"
"Prunus padus L., 1753",116109,"KEW","Other"
"Prunus spinosa L., 1753",116142,"KEW","Other"
"Pseudotsuga menziesii (Mirb.) Franco, 1950",116216,"KEW","Other"
"Pulmonaria longifolia (Bastard) Boreau, 1857",116416,"KEW","Other"
"Pulmonaria officinalis L., 1753",116422,"KEW","Other"
"Quercus ilex L., 1753 [nom. et typ. cons. prop.]",116704,"KEW","Other"
"Quercus petraea (Matt.) Liebl., 1784",521658,"KEW","Other"
"Quercus pubescens Willd., 1796 [nom. et typ. cons.]",116751,"KEW","Other"
"Ramonda myconi (L.) Rchb., 1831",116876,"KEW","Other"
"Ranunculus acris L., 1753",116903,"KEW","Other"
"Ranunculus repens L., 1753",117201,"KEW","Other"
"Rhamnus cathartica L., 1753",117530,"KEW","Other"
"Rhus coriaria L., 1753",117712,"KEW","Other"
"Ribes rubrum L., 1753",117774,"KEW","Other"
"Rosa canina L., 1753",118073,"KEW","Other"
"Rubia tinctorum L., 1753",118920,"KEW","Other"
"Ruscus aculeatus L., 1753",119698,"KEW","Other"
"Salix caprea L., 1753",119977,"KEW","Other"
"Salix purpurea L., 1753",120189,"KEW","Other"
"Salvia officinalis L., 1753",120678,"KEW","Other"
"Salvia pratensis L., 1753",120685,"KEW","Other"
"Sambucus ebulus L., 1753",120712,"KEW","Other"
"Sambucus nigra L., 1753",120717,"KEW","Other"
"Poterium sanguisorba L., 1753",115789,"KEW","Other"
"Sanguisorba officinalis L., 1753",120758,"KEW","Other"
"Santolina chamaecyparissus L., 1753",120785,"KEW","Other"
"Saponaria ocymoides L., 1753",120823,"KEW","Other"
"Saponaria officinalis L., 1753",120824,"KEW","Other"
"Satureja montana L., 1753",120908,"KEW","Other"
"Scilla bifolia L., 1753",121606,"KEW","Other"
"Sedum acre L., 1753",122101,"KEW","Other"
"Sedum album L., 1753",122106,"KEW","Other"
"Sempervivum tectorum L., 1753",122493,"KEW","Other"
"Rhodiola rosea L., 1753",117668,"KEW","Other"
"Petrosedum rupestre (L.) P.V.Heath, 1987",112816,"KEW","Other"
"Hylotelephium telephium (L.) H.Ohba, 1977",103162,"KEW","Other"
"Sempervivum arachnoideum L., 1753",122419,"KEW","Other"
"Sempervivum montanum L., 1753",122467,"KEW","Other"
"Solidago canadensis L., 1753",124164,"KEW","Other"
"Solidago gigantea Aiton, 1789",124168,"KEW","Other"
"Sorbus aucuparia L., 1753",124308,"KEW","Other"
"Spartium junceum L., 1753",124453,"KEW","Other"
"Stachys palustris L., 1753",124798,"KEW","Other"
"Symphoricarpos albus (L.) S.F.Blake, 1914",125324,"KEW","Other"
"Tamarix gallica L., 1753",125426,"KEW","Other"
"Tanacetum parthenium (L.) Sch.Bip., 1844",125469,"KEW","Other"
"Tanacetum vulgare L., 1753",125474,"KEW","Other"
"Taxus baccata L., 1753",125816,"KEW","Other"
"Teucrium chamaedrys L., 1753",125981,"KEW","Other"
"Thymus serpyllum L., 1753",126573,"KEW","Other"
"Thymus vulgaris L., 1753",126582,"KEW","Other"
"Tilia cordata Mill., 1768",126628,"KEW","Other"
"Tilia platyphyllos Scop., 1771 [nom. et typ. cons.]",126650,"KEW","Other"
"Trollius europaeus L., 1753",127872,"KEW","Other"
"Ulmus minor Mill., 1768",128175,"KEW","Other"
"Umbilicus rupestris (Salisb.) Dandy, 1948",128215,"KEW","Other"
"Veratrum album L., 1753",128520,"KEW","Other"
"Verbascum densiflorum Bertol., 1810",128567,"KEW","Other"
"Verbascum nigrum L., 1753",128615,"KEW","Other"
"Verbena officinalis L., 1753",128754,"KEW","Other"
"Veronica beccabunga L., 1753",128808,"KEW","Other"
"Viburnum lantana L., 1753",129083,"KEW","Other"
"Viburnum opulus L., 1753",129087,"KEW","Other"
"Vinca major L., 1753",129468,"KEW","Other"
"Vinca minor L., 1753",129470,"KEW","Other"
"Vincetoxicum hirundinaria Medik., 1790",129477,"KEW","Other"
"Viola odorata L., 1753",129632,"KEW","Other"
"Viola tricolor L., 1753",129723,"KEW","Other"
"Erigeron canadensis L., 1753",96749,"KEW","Other"
"Euphorbia lathyris L., 1753",97556,"KEW","Other"
"Fagus sylvatica L., 1753",97947,"KEW","Other"
"Salix myrsinifolia Salisb., 1796",120135,"KEW","Other"
"Xanthium strumarium L., 1753",130492,"KEW","Other"
"Allium schoenoprasum L., 1753",81508,"KEW","Other"
"Anthriscus sylvestris (L.) Hoffm., 1814",82952,"KEW","Other"
"Armoracia rusticana G.Gaertn., B.Mey. & Scherb., 1800",83866,"KEW","Other"
"Barbarea vulgaris W.T.Aiton, 1812",761965,"KEW","Other"
"Blitum bonus-henricus (L.) Rchb., 1832",994837,"KEW","Other"
"Carthamus lanatus L., 1753",89232,"KEW","Other"
"Castanea sativa Mill., 1768",89304,"KEW","Other"
"Centaurea benedicta (L.) L., 1763",89531,"KEW","Other"
"Descurainia sophia (L.) Webb ex Prantl, 1891",94645,"KEW","Other"
"Diplotaxis tenuifolia (L.) DC., 1821",95136,"KEW","Other"
"Epilobium hirsutum L., 1753",96180,"KEW","Other"
"Isatis tinctoria L., 1753",103817,"KEW","Other"
"Lactuca viminea (L.) J.Presl & C.Presl, 1819",104786,"KEW","Other"
"Mentha arvensis L., 1753",108029,"KEW","Other"
"Pastinaca sativa L., 1753",112550,"KEW","Other"
"Pyrus communis L., 1753",116574,"KEW","Other"
