"CD_REF","NOM_VALIDE","buds","bark","leaves","flowers","fruit","seed","seedling","aboveground_part","underground_part","whole_plant","sap"
86081,"Bistorta officinalis Delarbre, 1800",1,1,1,1,1,1,1,1,1,1,1
86087,"Blackstonia perfoliata (L.) Huds., 1762",1,1,1,1,1,1,1,1,1,1,1
86156,"Borago officinalis L., 1753",1,1,1,1,1,1,1,1,1,1,1
86490,"Briza media L., 1753",1,1,1,1,1,1,1,1,1,1,1
86828,"Bryonia dioica Jacq., 1774",1,1,1,1,1,1,1,1,1,1,1
86890,"Buglossoides arvensis (L.) I.M.Johnst., 1954",1,1,1,1,1,1,1,1,1,1,1
86969,"Bunias erucago L., 1753",1,1,1,1,1,1,1,1,1,1,1
87044,"Bupleurum falcatum L., 1753",1,1,1,1,1,1,1,1,1,1,1
87143,"Buxus sempervirens L., 1753",1,1,1,1,1,1,1,1,1,1,1
87420,"Calendula arvensis L., 1763",1,1,1,1,1,1,1,1,1,1,1
87501,"Calluna vulgaris (L.) Hull, 1808",1,1,1,1,1,1,1,1,1,1,1
87540,"Caltha palustris L., 1753",1,1,1,1,1,1,1,1,1,1,1
87690,"Campanula patula L., 1753",1,1,1,1,1,1,1,1,1,1,1
87712,"Campanula rapunculus L., 1753",1,1,1,1,1,1,1,1,1,1,1
87720,"Campanula rotundifolia L., 1753",1,1,1,1,1,1,1,1,1,1,1
87742,"Campanula trachelium L., 1753",1,1,1,1,1,1,1,1,1,1,1
87849,"Capsella bursa-pastoris (L.) Medik., 1792",1,1,1,1,1,1,1,1,1,1,1
87964,"Cardamine pratensis L., 1753",1,1,1,1,1,1,1,1,1,1,1
89147,"Carlina acaulis L., 1753",1,1,1,1,1,1,1,1,1,1,1
89180,"Carlina vulgaris L., 1753",1,1,1,1,1,1,1,1,1,1,1
89200,"Carpinus betulus L., 1753",1,1,1,1,1,1,1,1,1,1,1
89232,"Carthamus lanatus L., 1753",1,1,1,1,1,1,1,1,1,1,1
89250,"Carum carvi L., 1753",1,1,1,1,1,1,1,1,1,1,1
89304,"Castanea sativa Mill., 1768",1,1,1,1,1,1,1,1,1,1,1
89452,"Cedrus atlantica (Endl.) Manetti ex Carrière, 1855",1,1,1,1,1,1,1,1,1,1,1
89468,"Celtis australis L., 1753",1,1,1,1,1,1,1,1,1,1,1
89531,"Centaurea benedicta (L.) L., 1763",1,1,1,1,1,1,1,1,1,1,1
89542,"Centaurea calcitrapa L., 1753",1,1,1,1,1,1,1,1,1,1,1
89619,"Centaurea jacea L., 1753",1,1,1,1,1,1,1,1,1,1,1
89653,"Centaurea nigra L., 1753",1,1,1,1,1,1,1,1,1,1,1
89840,"Centaurium erythraea Rafn, 1800",1,1,1,1,1,1,1,1,1,1,1
