CD_REF,NOM_VALIDE,binomial_acc_name,AnimalFood,EnvironmentalUses,Fuels,GeneSources,HumanFood,InvertebrateFood,Materials,Medicines,Poisons,SocialUses
717139,"Chiliadenus glutinosus (L.) Fourr., 1869",Chiliadenus glutinosus,0,0,0,0,0,0,0,1,0,0
91169,"Cichorium intybus L., 1753",Cichorium intybus,1,0,0,1,1,0,0,1,1,1
91199,"Cicuta virosa L., 1753",Cicuta virosa,0,0,0,0,0,0,0,1,1,0
91289,"Cirsium arvense (L.) Scop., 1772",Cirsium arvense,0,0,0,0,0,0,0,1,1,0
91680,"Cistus ladanifer L., 1753",Cistus ladanifer,0,1,0,1,1,1,1,1,0,0
91880,"Clematis recta L., 1753",Clematis recta,0,0,0,0,0,0,0,1,0,0
91886,"Clematis vitalba L., 1753",Clematis vitalba,0,1,0,1,1,0,1,1,1,0
91910,"Clinopodium nepeta (L.) Kuntze, 1891",Clinopodium nepeta,0,1,0,0,1,0,0,1,0,0
91912,"Clinopodium vulgare L., 1753",Clinopodium vulgare,0,1,0,0,0,1,0,1,0,0
92052,"Cochlearia officinalis L., 1753",Cochlearia officinalis,0,0,0,0,0,1,0,1,0,0
92127,"Colchicum autumnale L., 1753",Colchicum autumnale,0,1,0,0,0,0,1,1,1,0
92196,"Colutea arborescens L., 1753",Colutea arborescens,1,1,0,1,1,0,1,1,0,0
92237,"Conium maculatum L., 1753",Conium maculatum,0,1,0,0,0,0,0,1,1,0
94572,"Delphinium consolida L., 1753",Delphinium consolida,0,1,0,0,0,0,0,1,1,0
92282,"Convallaria majalis L., 1753",Convallaria majalis,0,1,0,0,0,0,1,1,1,0
92302,"Convolvulus arvensis L., 1753",Convolvulus arvensis,0,0,0,0,0,0,0,1,1,0
92467,"Coriaria myrtifolia L., 1753",Coriaria myrtifolia,0,1,0,0,0,0,1,1,1,0
92488,"Cormus domestica (L.) Spach, 1834",Cormus domestica,0,1,0,0,1,0,1,1,0,0
92497,"Cornus mas L., 1753",Cornus mas,0,1,0,0,1,0,1,1,0,0
92501,"Cornus sanguinea L., 1753",Cornus sanguinea,0,1,0,0,0,0,1,1,1,0
92566,"Corrigiola litoralis L., 1753",Corrigiola litoralis,0,0,0,0,0,0,1,1,0,0
92606,"Corylus avellana L., 1753",Corylus avellana,0,1,1,1,1,0,1,1,0,0
92631,"Cotinus coggygria Scop., 1771",Cotinus coggygria,0,1,0,0,0,0,1,1,1,0
92824,"Crataegus azarolus L., 1753",Crataegus azarolus,0,0,0,0,1,0,1,1,0,0
92854,"Crataegus germanica (L.) Kuntze, 1891",Crataegus germanica,0,1,0,0,1,0,1,1,0,0
92864,"Crataegus laevigata (Poir.) DC., 1825",Crataegus laevigata,0,1,0,0,0,0,0,1,0,0
92876,"Crataegus monogyna Jacq., 1775",Crataegus monogyna,0,1,0,0,0,1,1,1,1,0
93157,"Crepis vesicaria L., 1753",Crepis vesicaria,0,0,0,0,0,0,0,1,0,0
93190,"Crithmum maritimum L., 1753",Crithmum maritimum,0,0,0,0,0,0,0,1,0,0
93308,"Cruciata laevipes Opiz, 1852",Cruciata laevipes,0,0,0,0,0,0,0,1,0,0
93590,"Cupressus sempervirens L., 1753",Cupressus sempervirens,0,1,1,0,0,0,1,1,1,0
