ORIGIN_USE,DETAIL_ORIGIN_USE,ORIGIN_TYPOLOGY,SELECTED_TYPOLOGY_FR,DETAIL_SELECTED_TYPOLOGY_FR,SELECTED_TYPOLOGY_ENG,DETAIL_SELECTED_TYPOLOGY_ENG
Pectin ,In the kitchen - A substance that is used to thicken jams etc and as a culture medium in laboratories. ( 23 ),PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Straw ,In the kitchen - For drinking with. ( 19 ),PFAF,Autre,non précisé,Other,not specified
Waxed paper,In the kitchen - Substitutes that is. ( 1 ),PFAF,Autre,non précisé,Other,not specified
Broom ,Other Uses - Used for sweeping the floor etc. ( 54 ),PFAF,Autre,non précisé,Other,not specified
Litmus ,,PFAF,Autre,non précisé,Other,not specified
Microscope ,Other Uses - (6),PFAF,Autre,non précisé,Other,not specified
Miscellany ,Other Uses - A rag-bag of items that are difficult to categorise. ( 263 ),PFAF,Autre,non précisé,Other,not specified
Musical ,Other Uses - Specific mention of plants used as musical instruments. Does not include the various woods that can be used for making musical instruments. ( 35 ),PFAF,Autre,non précisé,Other,not specified
Pollution ,Other Uses - Plants used to combat pollution. ( 19 ),PFAF,Autre,non précisé,Other,not specified
Repellent ,"Other Uses - Plants that are said to deter but not necessarily kill various mammals, birds, insects etc. ( 477 )",PFAF,Autre,non précisé,Other,not specified
Weather forecasting,Other Uses - A few plants that are supposed to help us forecast the weather. ( 6 ),PFAF,Autre,non précisé,Other,not specified
Weather protection,Other Uses - Plants that can be used to give the body protection from severe weather. ( 7 ),PFAF,Autre,non précisé,Other,not specified
Fungicide ,"Pesticides - Arrests the growth of, or kills, fungi. ( 36 )",PFAF,Autre,non précisé,Other,not specified
Herbicide ,Pesticides - Plants or plant extracts that can inhibit the growth of other plants. ( 88 ),PFAF,Autre,non précisé,Other,not specified
Insecticide ,Pesticides - Kills insects. ( 233 ),PFAF,Autre,non précisé,Other,not specified
Parasiticide ,Pesticides - Kills external body parasites such as hair lice. ( 195 ),PFAF,Autre,non précisé,Other,not specified
Adhesive ,Woodwork and other crafts - Glues. ( 93 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Basketry ,Woodwork and other crafts - Plant used in making baskets and other items such as chairs. Includes plants that are only used as an ornamental addition. ( 264 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Beads ,Woodwork and other crafts - Used as necklaces etc. ( 44 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Furniture ,Woodwork and other crafts - A few miscellaneous uses that do not fit easily into other headings. ( 247 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Lacquer ,Woodwork and other crafts - A type of varnish. ( 18 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Nails ,Woodwork and other crafts - A few woods are tough enough to be used in place of metal nails in certain circumstances. ( 6 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Polish ,"Woodwork and other crafts - Plants used to give a shine to metals, wood etc. ( 27 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Preservative ,"Woodwork and other crafts - For food, or for treating wood, ropes etc. ( 53 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Rust ,Woodwork and other crafts - Plants that can be used to prevent or treat rust. ( 10 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Sandpaper ,Woodwork and other crafts - Plants used to smooth rough wooden surfaces by means of abrasion. ( 9 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Varnish ,Woodwork and other crafts - Plants that can be used as a varnish without any special treatment. Does not include varnishes made from oils etc. ( 52 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Waterproofing,Woodwork and other crafts - Does what it says. See also Pitch and Oil. ( 59 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Wood,Woodwork and other crafts - A list of the trees and shrubs that are noted for having useful wood. ( 1431 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
