ORIGIN_USE,DETAIL_ORIGIN_USE,ORIGIN_TYPOLOGY,SELECTED_TYPOLOGY_FR,DETAIL_SELECTED_TYPOLOGY_FR,SELECTED_TYPOLOGY_ENG,DETAIL_SELECTED_TYPOLOGY_ENG
Antiscorbutic,General Well Being - A plant rich in vitamin C that is used to counteract scurvy. ( 93 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Balsamic,General Well Being - A healing and soothing agent. ( 16 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Nutritive,General Well Being - A food for convalescents to help restore strength. ( 40 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Tonic,"General Well Being - Improves general health. Slower acting than a stimulant, it brings steady improvement. ( 838 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Anticholesterolemic,Heart and Blood - Prevents the build up of cholesterol. ( 50 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Anticoagulant,Heart and Blood - Removes blood clots. ( 24 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Blood purifier,Heart and Blood - Purifies the blood. ( 60 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Blood tonic,Heart and Blood - Is this any different to a blood purifier? ( 42 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Cardiac,Heart and Blood - Used in the treatment of heart problems. ( 137 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Cardiotonic,Heart and Blood - A tonic for the heart. ( 151 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Haemolytic,Heart and Blood - Breaks down red blood corpuscles to separate haemoglobin. ( 12 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Hypoglycaemic,Heart and Blood - Reduces the levels of sugar in the blood. ( 119 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Hypotensive,"Heart and Blood - Reduces blood pressure, it is used in the treatment of high blood pressure ( 207 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Vasoconstrictor,"Heart and Blood - Narrows the blood vessels, thereby increasing blood pressure. ( 25 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Vasodilator,"Heart and Blood - Widens the blood vessels, thereby reducing blood pressure. ( 84 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antiperiodic,Infectious Diseases - Counteracts recurring illnesses such as malaria. ( 83 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antiscrophulatic,"Infectious Diseases - Counteracts scrofula. (TB, especially of the lymph glands) ( 16 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
TB,Infectious Diseases - Plants used in the treatment of tuberculosis ( 66 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
VD,Infectious Diseases - Used in the treatment of venereal disease ( 93 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Cholera,Infectious Diseases - Used in the treatment of cholera - an acute diarrheal illness caused by infection of the intestine with Vibrio cholerae bacteria. ( 42 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Malaria,Infectious Diseases - Treats malaria - an acute febrile illness caused by Plasmodium parasites spread to people through the bites of mosquitos. ( 152 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Leprosy,Infectious Diseases - Used to treat leprosy - a chronic bacterial infection of the skin and superficial nerves (in the skin) caused by Mycobacterium leprae. ( 84 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Dysentery,Infectious Diseases - Used in treating dysentery - an infection of the intestines that causes diarrhoea containing blood or mucus. ( 583 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antibilious,"Liver, Kidneys, and other internal bits - Corrects the secretions of bile. ( 23 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Cholagogue,"Liver, Kidneys, and other internal bits - Increases the flow of bile and its discharge from the body. ( 148 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Diuretic,"Liver, Kidneys, and other internal bits - Acts on the kidneys, promoting the flow of urine. ( 1124 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Haemostatic,"Liver, Kidneys, and other internal bits - Controls internal bleeding. ( 146 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Hepatic,"Liver, Kidneys, and other internal bits - Acts on the liver (for better or worse!). ( 83 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Kidney,"Liver, Kidneys, and other internal bits - Used in the treatment of kidney diseases ( 112 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Lithontripic,"Liver, Kidneys, and other internal bits - Removes stones from the kidney, bladder etc. ( 52 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antispasmodic,"Nerves and Muscles - Relaxes muscular spasms and cramps, calming nervous irritation. ( 421 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Nervine,Nerves and Muscles - Stimulates and calms the nerves. ( 103 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Epilepsy,"Nerves and Muscles - Used in the treatment of Epilepsy - a disorder in which nerve cell activity in the brain is disturbed, causing seizures. ( 95 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antidandruff,Other medicinal uses - Treats dandruff. ( 30 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antihydrotic,Other medicinal uses - Reduces perspiration. ( 9 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antiphlogistic,Other medicinal uses - Reduces inflammation. ( 138 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antivinous,Other medicinal uses - Treats addiction to alcohol ( 12 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Appetizer,Other medicinal uses - Improves the appetite ( 124 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Aromatic,Other medicinal uses - Having an agreeable odour and stimulant qualities. ( 103 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Astringent,"Other medicinal uses - Produces contraction in living tissue, reducing the flow of secretions and discharges of blood, mucus, diarrhoea etc. ( 982 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Bitter,"Other medicinal uses - Increases the appetite and stimulates digestion by acting on the mucous membranes of the mouth. Also increases the flow of bile, stimulates repair of the gut wall lining and regulates the secretion of insulin and glucogen. ( 112 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Deodorant,Other medicinal uses - Masks smells. Is this medicinal? ( 38 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Diaphoretic,Other medicinal uses - Induces perspiration. ( 451 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Emollient,"Other medicinal uses - Softens the skin, causing warmth and moisture. ( 136 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Enuresis,Other medicinal uses - Treats bed wetting. ( 7 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Hallucinogenic,Other medicinal uses - Causes the mind to hallucinate. ( 32 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Hypnotic,Other medicinal uses - Induces sleep. ( 74 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Irritant,Other medicinal uses - Causes irritation or abnormal sensitivity in living tissue. ( 25 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Miscellany,Other medicinal uses - Various medicinal actions that need more clarification. ( 263 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Refrigerant,Other medicinal uses - Cools the body. ( 72 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Restorative,Other medicinal uses - Restores consciousness or normal physiological activity. ( 18 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Rubefacient,"Other medicinal uses - A counter-irritant and external stimulant, it produces inflammation and redness of the skin. ( 98 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Sedative,"Other medicinal uses - Gently calms, reducing nervousness, distress and irritation. ( 325 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Stimulant,Other medicinal uses - Excites or quickens activity of the physiological processes. Faster acting than a tonic but differing from a narcotic in that it does not give a false sense of well-being. ( 378 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Anaesthetic,Pain Relief - Numbs the feeling in a local or general area of the body. ( 33 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Analgesic,Pain Relief - Relieves pain. ( 280 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Anodyne,"Pain Relief - Relieves pain, it is milder than an analgesic. ( 312 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Lenitive,"Pain Relief - Soothing, palliative. ( 16 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Narcotic,"Pain Relief - Relieves pain, induces drowsiness and gives a sense of well-being. ( 91 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Abortifacient,Sex and Reproduction - Causes an abortion. ( 94 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Anaphrodisiac,Sex and Reproduction - Reduces sexual desire. ( 10 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Aphrodisiac,Sex and Reproduction - Increases the sexual appetite. ( 143 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Birthing aid,"Sex and Reproduction - Used in facilitating birth, but not just to cause uterine contrctions. ( 60 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Contraceptive,Sex and Reproduction - Prevents fertilization occurring in females. ( 80 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Emmenagogue,Sex and Reproduction - Promotes or increases the menstrual flow. In early stages of pregnancy it can induce an abortion. ( 310 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Galactofuge,Sex and Reproduction - Stops or reduces the flow of milk in a nursing mother. ( 17 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Galactogogue,Sex and Reproduction - Promotes the flow of milk in a nursing mother. ( 135 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Infertility,Sex and Reproduction - Used in treating problems of human fertility. ( 26 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Oxytoxic,Sex and Reproduction - Hastens parturition and stimulates uterine contractions. See also birthing aids. ( 42 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Uterine tonic,Sex and Reproduction - A tonic for the uterus. See also oxytoxic. ( 16 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Women's complaints,"Sex and Reproduction - A very vague title, it deals with a miscellany of problems peculiar to the female sex. ( 89 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Women,"Sex and Reproduction - A very vague title, it deals with a miscellany of problems peculiar to the female sex. ( 0 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Acrid,"Skin, Hands and Feet - Causes heat and irritation when applied to the skin. ( 18 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antidermatosic,"Skin, Hands and Feet - Prevents or cures skin complaints. ( 13 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antipruritic,"Skin, Hands and Feet - Treats itching of the skin. ( 56 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Foot care,"Skin, Hands and Feet - Plants that are used in various ways to treat foot problems. ( 20 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Skin,"Skin, Hands and Feet - Plants used in miscellaneous treatments for the skin. ( 478 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Vesicant,"Skin, Hands and Feet - A blistering agent. ( 15 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Eczema,"Skin, Hands and Feet - Used in the treatment of eczema - a chronic health condition that affects the skin, causing redness, dryness, itching and infections. ( 134 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antacid,Stomach - Counters excess acidity in the stomach. ( 9 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antiemetic,Stomach - Prevents vomiting. ( 68 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Digestive,Stomach - Aids digestion. ( 178 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Emetic,Stomach - Induces vomiting. ( 270 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Stomachic,Stomach - Aids and improves the action of the stomach. ( 557 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antiecchymotic,Treatment of Wounds and Bruises - Prevents or treats bruising. ( 8 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antiseptic,"Treatment of Wounds and Bruises - Preventing sepsis, decay or putrefaction, it destroys or arrests the growth of micro-organisms. ( 389 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Detergent,"Treatment of Wounds and Bruises - A cleansing agent, used on wounds etc. It removes dead and diseased matter. ( 25 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Disinfectant,Treatment of Wounds and Bruises - Used for cleaning wounds. ( 63 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Plaster,Treatment of Wounds and Bruises - Used in the treatment of broken bones. ( 8 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Poultice,"Treatment of Wounds and Bruises - A moist, usually warm or hot, mass of plant material applied to the skin in the treatment of burns etc. ( 491 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Salve,Treatment of Wounds and Bruises - Soothes and heals damaged skin. ( 143 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Styptic,Treatment of Wounds and Bruises - An astringent that stops bleeding by contracting the blood vessels. ( 98 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Vulnerary,Treatment of Wounds and Bruises - Promotes the healing of wounds. ( 214 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Adaptogen,"Whole Body - Helps the body 'rise' to normal stress situations, thus preventing the many chronic degenerative diseases. ( 23 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Deobstruent,Whole Body - Clears obstructions from the natural ducts of the body. ( 49 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Depurative,"Whole Body - Eliminates toxins and purifies the system, especially the blood. ( 210 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
