LB_NOM,CD_REF,C,S,R,CSR,strategy_class
Cyperus longus,93967,30.3231750401606,32.914707853139,36.7621171067004,30 : 33 : 37 %,CSR
Dactylis glomerata,94207,29.3124848370648,36.2094499585749,34.4780652043603,29 : 36 : 34 %,CSR
Dactylorhiza maculata,94266,48.3368997909842,0,51.6631002090158,48 : 0 : 52 %,CR
Daphne gnidium,94427,8.89564502024082,56.6647794984314,34.4395754813278,9 : 57 : 34 %,SR
Daphne laureola,94432,31.6239843631306,36.688491390211,31.6875242466584,32 : 37 : 32 %,CSR
Daphne mezereum,94435,22.3422059104889,30.3651649127192,47.2926291767919,22 : 30 : 47 %,R/CSR
Datura stramonium,94489,75.6197775166341,0,24.3802224833659,76 : 0 : 24 %,C/CR
Daucus carota,94503,42.1026931126545,35.9709004700878,21.9264064172577,42 : 36 : 22 %,CS/CSR
Delphinium consolida,94572,19.8827948560668,9.71436801455549,70.4028371293777,20 : 10 : 70 %,R/CR
Deschampsia cespitosa,94626,13.6284102504245,64.5337339813188,21.8378557682567,14 : 65 : 22 %,S/SR
Descurainia sophia,94645,23.4627451542073,20.870983246731,55.6662715990618,23 : 21 : 56 %,R/CSR
Dictamnus albus,94923,55.1939840090115,28.8831178034407,15.9228981875479,55 : 29 : 16 %,C/CSR
Digitalis lutea,94945,52.6563715770793,15.684024811675,31.6596036112458,53 : 16 : 32 %,C/CSR
Digitalis purpurea,94959,68.0418759455303,9.11763471285272,22.840489341617,68 : 9 : 23 %,C/CR
Dioscorea communis,611652,58.9934507981153,0,41.0065492018848,59 : 0 : 41 %,CR
Diplotaxis tenuifolia,95136,53.820982774539,0,46.1790172254611,54 : 0 : 46 %,CR
Dittrichia viscosa,95187,28.3449193513702,26.5199564408282,45.1351242078017,28 : 27 : 45 %,R/CSR
Doronicum pardalianches,95239,61.9063512935291,0,38.0936487064708,62 : 0 : 38 %,CR
Drosera intermedia,95438,0,11.8745858681859,88.1254141318141,0 : 12 : 88 %,R
Drosera rotundifolia,95442,4.34549811957202,0,95.654501880428,4 : 0 : 96 %,R
Dryas octopetala,95461,5.29044439534707,88.4143063150554,6.2952492895976,5 : 88 : 6 %,S
Dysphania ambrosioides,611753,37.190099516863,2.65255785209963,60.1573426310373,37 : 3 : 60 %,CR
Echium vulgare,95793,53.0582701610356,23.5779516860418,23.3637781529225,53 : 24 : 23 %,C/CSR
Chamaenerion angustifolium,90483,37.976396050764,31.5176032896104,30.5060006596256,38 : 32 : 31 %,CSR
Epilobium hirsutum,96180,36.1751351446425,18.6525407296671,45.1723241256904,36 : 19 : 45 %,CR/CSR
Epilobium montanum,96208,34.6573734843614,25.6872512791452,39.6553752364933,35 : 26 : 40 %,CSR
Epilobium palustre,96226,27.2603751736401,0,72.7396248263599,27 : 0 : 73 %,R/CR
Epilobium parviflorum,96229,34.944067060292,0,65.0559329397079,35 : 0 : 65 %,R/CR
Epilobium roseum,96251,21.2605792882928,0,78.7394207117072,21 : 0 : 79 %,R/CR
Epilobium tetragonum,96271,19.1094379027631,32.9263450707552,47.9642170264818,19 : 33 : 48 %,SR/CSR
Erica carnea,96664,0,99.9486003578268,0.0513996421732568,0 : 100 : 0 %,S
Erica cinerea,96667,0,94.1838498214568,5.81615017854321,0 : 94 : 6 %,S
