"LB_NOM","CD_REF","mean_LA","mean_LDMC","mean_SLA"
"Dryas octopetala",95461,94.5441658038738,38.6675682896746,11.0681295095466
"Dysphania ambrosioides",611753,1143.75,16.9449,28.12
"Echium vulgare",95793,1078.93842121212,18.9288553536883,12.8474939636157
"Chamaenerion angustifolium",90483,1487.86434338222,22.3756748619442,17.9261545997051
"Epilobium hirsutum",96180,1609.23752981518,20.1350729281043,26.3799308087285
"Epilobium montanum",96208,2075.73818181818,22.9142857142857,27.9809711409354
"Epilobium palustre",96226,742.83988095,15.0576241580787,37.8021187128657
"Epilobium parviflorum",96229,1061.2,16.0071428571429,31.3609892730363
"Epilobium roseum",96251,569.5,15,48.29
"Epilobium tetragonum",96271,446.15,22.3588237395436,24.4182585443301
"Erica carnea",96664,4.55857897582609,32.9900235060914,9.7620992510391
"Erica cinerea",96667,2.59582258064516,39.6372931568345,10.9204616285125
"Erica scoparia",96691,6.89470757575758,52.1658259379489,6.38400724112031
"Erigeron acris",611688,334.333333333333,19.23333333,18.3172380952143
"Erigeron canadensis",96749,417.551507933333,27.5111097954742,13.2045744675
"Erodium cicutarium",96895,504.851355,19.8594295671218,29.259888141652
"Eryngium campestre",97141,15924.2454774375,22.9253710785714,8.6556578367539
"Euonymus europaeus",609982,1336.47642274906,32.2939683781637,15.6508064903842
"Eupatorium cannabinum",97434,3856.44203897793,20.9592593310142,24.7540395042726
"Euphorbia amygdaloides",97452,462.566083333333,24.2177064961746,37.1777081187601
"Euphorbia cyparissias",97490,183.69386162963,32.2003247803525,21.1703817244345
"Euphorbia helioscopia",97537,479.566323888889,17.6471135942032,36.4045018949401
"Euphorbia lathyris",97556,1533.67454545455,17.1910555558333,23.65575
"Euphorbia palustris",97601,619.0425,32.2991666666667,20.41
"Euphrasia nemorosa",97776,40.775,26.0231666666667,28.1561870289272
"Euphrasia officinalis",97781,35.9264206116279,20.1264264256655,13.3182497474587
"Fagus sylvatica",97947,1979.41895826637,42.1223451721584,27.5064627853027
"Ficaria verna",98651,1034.2391230303,11.8838792062658,35.5579460582305
"Ficus carica",98653,17328.1218571429,27.6208735012037,11.5184507387931
"Filipendula ulmaria",98717,14653.717372986,34.5481224867486,23.8421143151814
"Filipendula vulgaris",98718,1265.24315103118,25.7617223949195,19.6978701304286
"Foeniculum vulgare",98756,8399.96,23.405,7.99490489138487
"Fragaria vesca",98865,2403.81371737857,28.8416819281657,27.7059142838947
"Frangula alnus",98887,2075.96457122507,32.2525595800569,28.4126727374379
"Fraxinus angustifolia",98910,6445.989475,34.2335667956067,15.1412770496865
"Fraxinus excelsior",98921,14944.8016790034,34.2218475529435,13.273296927251
"Fraxinus ornus",98933,12155.12725,38.9917428053589,14.8913098857468
"Fritillaria meleagris",98977,634.472,16.0716,19.695625
"Fumaria officinalis",99108,716.1474375,16.7083652093993,34.7504355445901
"Galanthus nivalis",99233,862.066129032258,16.399807993344,20.359656573809
"Galatella linosyris",99244,68.718484375,28.2257629813432,11.6500946951595
