LB_NOM,CD_REF,C,S,R,CSR,strategy_class
Carex pilulifera,88775,13.3208121488036,53.9801036055631,32.6990842456333,13 : 54 : 33 %,S/CSR
Carex remota,88819,13.7308934424992,42.1875194337828,44.081587123718,14 : 42 : 44 %,SR/CSR
Carex riparia,88833,51.7625037032495,39.7321591482736,8.50533714847685,52 : 40 : 9 %,CS
Carex tomentosa,88916,14.3920661131051,62.0038350492337,23.6040988376612,14 : 62 : 24 %,S/CSR
Carex vaginata,88932,12.0572980676934,54.0264608075206,33.916241124786,12 : 54 : 34 %,SR/CSR
Carex viridula,88949,5.86541888658064,70.3060698998378,23.8285112135815,6 : 70 : 24 %,S/SR
Catananche caerulea,89330,44.7854102451934,0,55.2145897548066,45 : 0 : 55 %,CR
Celtis australis,89468,36.8078766224844,38.7942957426049,24.3978276349107,37 : 39 : 24 %,CS/CSR
Centaurea jacea,89619,35.7782592309056,27.185230653528,37.0365101155664,36 : 27 : 37 %,CSR
Centaurea stoebe,89716,31.2785030965178,10.832473760856,57.8890231426262,31 : 11 : 58 %,R/CSR
Centaurium littorale,89845,1.03903895339324,42.9541153445359,56.0068457020709,1 : 43 : 56 %,SR
Centranthus ruber,89888,57.9611089307141,0,42.0388910692859,58 : 0 : 42 %,CR
Cephalaria leucantha,89940,58.7665794215545,41.2334205784455,0,59 : 41 : 0 %,CS
Cerastium brachypetalum,89979,4.94835939946347,23.8001766761123,71.2514639244242,5 : 24 : 71 %,R/SR
Cerastium pumilum,90076,0,0,100,0 : 0 : 100 %,R
Ceratocephala falcata,90180,2.5088682717598,49.721844658326,47.7692870699142,3 : 50 : 48 %,SR
Chamaenerion angustifolium,90483,37.976396050764,31.5176032896104,30.5060006596256,38 : 32 : 31 %,CSR
Chenopodium ficifolium,90724,29.1991637551011,31.0349760590412,39.7658601858577,29 : 31 : 40 %,CSR
Chrysosplenium alternifolium,91118,29.5232995619781,0,70.476700438022,30 : 0 : 70 %,R/CR
Chrysosplenium oppositifolium,91120,17.7116449871532,0,82.2883550128468,18 : 0 : 82 %,R/CR
Cichorium intybus,91169,55.824270977314,11.1605382944783,33.0151907282077,56 : 11 : 33 %,C/CSR
Circaea alpina,91256,15.9871964587951,0,84.0128035412049,16 : 0 : 84 %,R
Cirsium arvense,91289,57.3922668508256,6.64425022491698,35.9634829242575,57 : 7 : 36 %,CR
Cirsium dissectum,91322,62.0258914577065,0,37.9741085422935,62 : 0 : 38 %,CR
Cirsium oleraceum,91378,76.3876184837981,0,23.6123815162019,76 : 0 : 24 %,C/CR
Cirsium tuberosum,91422,84.1626038070435,5.84978729734165,9.98760889561484,84 : 6 : 10 %,C
Cirsium vulgare,91430,84.4503812538587,0,15.5496187461413,84 : 0 : 16 %,C
Cistus albidus,91630,33.6283991444889,66.3716008555111,0,34 : 66 : 0 %,S/CS
Cistus ladanifer,91680,15.2967788772708,84.7032211227292,0,15 : 85 : 0 %,S
Cistus salviifolius,91715,36.8906918312358,48.0731354374852,15.036172731279,37 : 48 : 15 %,CS/CSR
Clematis vitalba,91886,50.4398926448224,25.5754322357591,23.9846751194185,50 : 26 : 24 %,C/CSR
Clinopodium nepeta,91910,6.69832557837189,55.5071414226762,37.7945329989519,7 : 56 : 38 %,SR
Cochlearia anglica,92029,3.83144799246232,82.1618254994509,14.0067265080867,4 : 82 : 14 %,S
Colchicum bulbocodium,92132,34.0579997907682,11.2813632726641,54.6606369365677,34 : 11 : 55 %,CR/CSR
Colocasia esculenta,447722,87.8448812485016,0,12.1551187514984,88 : 0 : 12 %,C
Conringia orientalis,92254,56.3655293187622,0,43.6344706812378,56 : 0 : 44 %,CR
Convallaria majalis,92282,50.5240337436319,10.8906361498959,38.5853301064722,51 : 11 : 39 %,CR/CSR
Convolvulus arvensis,92302,31.8291715568378,6.10405640847502,62.0667720346872,32 : 6 : 62 %,R/CR
Convolvulus lanuginosus,92329,5.14981796329867,87.4482729650815,7.40190907161986,5 : 87 : 7 %,S
Convolvulus lineatus,92331,30.9021301329564,35.1040852436547,33.9937846233889,31 : 35 : 34 %,CSR
Cornus sanguinea,92501,32.7170205096885,49.1444674688696,18.1385120214419,33 : 49 : 18 %,CS/CSR
Coronilla coronata,92515,40.5657260573382,24.9685589960219,34.4657149466399,41 : 25 : 34 %,CR/CSR
