LB_NOM,CD_REF,mean_LA,mean_LDMC,mean_SLA
Carex mucronata,88693,30.98175,40.58339178,6.0566076554
Carex otrubae,88741,2753,31.8,18.2866666666667
Carex pilulifera,88775,369.85508461039,30.8719448022981,21.5110748386541
Carex remota,88819,317.666666666667,25.36,24.8207579763794
Carex riparia,88833,9680.56997519378,35.778134961141,13.7713859101888
Carex tomentosa,88916,465.5,35.6965,18.02
Carex vaginata,88932,291.844301958824,29.7315580372222,21.0539668566975
Carex viridula,88949,125.18913381493,36.7877235440303,17.2169827676365
Catananche caerulea,89330,485,14.002906666,15.6518
Celtis australis,89468,3440.59287606061,30.4900340365601,21.8097643021766
Centaurea jacea,89619,1120.60986350677,20.9183653671613,18.9813371802665
Centaurea stoebe,89716,518.651904764286,17.7056296294444,20.5268888886667
Centaurium littorale,89845,35.1173076923077,25.2186923076923,30.9233333333333
Centranthus ruber,89888,2613.14944444444,13.7974285714286,20.7801875
Cephalaria leucantha,89940,4971.76333333333,27.2123367999918,7.62818354620491
Cerastium brachypetalum,89979,61.3321513043478,19.198184311037,24.6950277464583
Cerastium pumilum,90076,19.4553333333333,16.0244375,21.67206666625
Ceratocephala falcata,90180,69.1351190476191,33.7037037037037,41.4780697695745
Chamaenerion angustifolium,90483,1487.86434338222,22.3756748619442,17.9261545997051
Chenopodium ficifolium,90724,764.457826086957,21.4776925925926,19.5850205762963
Chrysosplenium alternifolium,91118,1140.0373684193,10.0140552193906,46.9310891196233
Chrysosplenium oppositifolium,91120,176.416666666667,12.405,23.348
Cichorium intybus,91169,3481.2958490566,18.6094720504109,20.0739153558491
Circaea alpina,91256,794.44975561579,14.2114027666667,166.740608610664
Cirsium arvense,91289,2145.01223665368,17.4465468957993,17.4900724114856
Cirsium dissectum,91322,2617.38123076923,11.0393055558333,18.4598989840238
Cirsium oleraceum,91378,16949.3237511589,14.2161906220063,23.4286611800494
Cirsium tuberosum,91422,5378.54,17.44025,11.7
Cirsium vulgare,91430,10031.9752226,15.4497736794296,14.4655583872181
Cistus albidus,91630,770.697387569395,26.9141847419194,5.67771939445809
Cistus ladanifer,91680,404.75,40.525097499915,5.84628034399479
Cistus salviifolius,91715,1604.85549799888,27.1339392889079,13.4484706238037
Clematis vitalba,91886,9084.32479478125,27.1607135875671,25.8294597157107
Clinopodium nepeta,91910,133.5,29.8046091653846,22.5684582760535
Cochlearia anglica,92029,218.135,6.97175,21.9075
Colchicum bulbocodium,92132,1306.3,18.514,30.39
Colocasia esculenta,447722,276254.283339672,13.3464424609005,27.4518371077394
Conringia orientalis,92254,4808.8125,8.419,30.261920675
Convallaria majalis,92282,4796.91198333333,19.2314141440089,29.7513088579872
Convolvulus arvensis,92302,835.790793965517,17.4099130970857,28.1281468664333
Convolvulus lanuginosus,92329,65.3,29.216,10.777
Convolvulus lineatus,92331,443.5,20.167,14.5176673267989
Cornus sanguinea,92501,2452.42683131313,34.0233598944896,17.0170387165964
Coronilla coronata,92515,1730.59587142857,21.1203500696463,19.6941414597808
Corydalis solida,92594,1337.68388888889,14.8928157894737,43.2406666666667
Corylus avellana,92606,3855.83669822146,39.7447113333441,15.7046358239719
Cota tinctoria,92629,288.03125,20.9799743592308,16.8523685089621
Cotoneaster integerrimus,92667,506.397894736842,37.7377647058824,13.4190059300375
Crambe maritima,92782,36246.42325,10.06843333335,9.10694444441667
Crassula helmsii,92793,8,4.7,41.69
Crepis aurea,93004,530.456989086667,15.87750532,12.3137691534638
Crepis capillaris,93023,1464.76049087719,12.7251713398436,35.8951518036948
Crepis conyzifolia,93027,522.497873285714,21.88125,8.41108294399369
Crithmum maritimum,93190,268,9.13333333333333,9.225
Crocus vernus,93282,339.991166666667,26.8531516889617,15.8084425304204
Cruciata glabra,93307,75.8160005084746,37.1856412349411,18.7940276130538
Cytisus hirsutus,94123,780.949996,17.5385021181252,31.0902515262477
Dactylorhiza maculata,94266,1714.72380957143,11.891625,23.5519489356256
Dactylorhiza traunsteineri,94287,681.345,12.26666667,25.93
Danthonia decumbens,94402,329.644166666667,35.1641807800092,16.97317159293
Daphne cneorum,94423,40.7208333333333,37.5994166666667,14.2
Daphne mezereum,94435,668.656872222222,22.495573814409,26.5727569071906
Datura stramonium,94489,13515.9815625,13.45628125,21.9595188270819
Daucus carota,94503,2579.77838581169,25.2748598482568,16.6968864253748
Dianthus barbatus,94698,1141.7,22.3145,16.195
Dianthus deltoides,94728,38.8546175438597,28.3567735626946,19.7447178332736
