"LB_NOM","CD_REF","CD_TYPE_STATUT","LB_TYPE_STATUT","REGROUPEMENT_TYPE","CODE_STATUT","LB_ADM_TR","NIVEAU_ADMIN","FULL_CITATION","DOC_URL","harvested"
"Eleocharis ovata",95919,"PR","Protection régionale","Protection","RV22","Picardie","Ancienne région","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000872926/","not harvested"
"Eleocharis ovata",95919,"PR","Protection régionale","Protection","RV25","Basse-Normandie","Ancienne région","Arrêté interministériel du 27 avril 1995 relatif à la liste des espèces végétales protégées en région Basse-Normandie complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9540070A","not harvested"
"Eleocharis ovata",95919,"PR","Protection régionale","Protection","RV82","Rhône-Alpes","Ancienne région","Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale","https://www.legifrance.gouv.fr/loda/id/LEGITEXT000006059516/","not harvested"
"Eleocharis ovata",95919,"PD","Protection départementale","Protection","DV51","Marne","Département","Arrêté interministériel du 8 février 1988 relatif à la liste des espèces végétales protégées en région Champagne-Ardenne complétant la liste nationale","https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000847021","not harvested"
"Eleocharis quinqueflora",95927,"PR","Protection régionale","Protection","RV22","Picardie","Ancienne région","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000872926/","not harvested"
"Eleocharis quinqueflora",95927,"PR","Protection régionale","Protection","RV42","Alsace","Ancienne région","Arrêté interministériel du 28 juin 1993 relatif à la liste des espèces végétales protégées en région Alsace complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9320251A","not harvested"
"Eleocharis quinqueflora",95927,"PR","Protection régionale","Protection","RV25","Basse-Normandie","Ancienne région","Arrêté interministériel du 27 avril 1995 relatif à la liste des espèces végétales protégées en région Basse-Normandie complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9540070A","not harvested"
"Eleocharis quinqueflora",95927,"PR","Protection régionale","Protection","RV74","Limousin","Ancienne région","Arrêté interministériel du 1er septembre 1989 relatif à la liste des espèces végétales protégées en région Limousin complétant la liste nationale","https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000690918/","not harvested"
"Eleocharis quinqueflora",95927,"PR","Protection régionale","Protection","RV41","Lorraine","Ancienne région","Arrêté interministériel du 3 janvier 1994 relatif à la liste des espèces végétales protégées en région Lorraine complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9430004A","not harvested"
"Eleocharis quinqueflora",95927,"PR","Protection régionale","Protection","RV31","Nord-Pas-de-Calais","Ancienne région","Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale","http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000000871938&fastPos=1&fastReqId=1531059809&categorieLien=cid&oldAction=rechTexte","not harvested"
"Eleocharis uniglumis",95933,"PR","Protection régionale","Protection","RV73","Midi-Pyrénées","Ancienne région","Arrêté interministériel du 30 décembre 2004 relatif à la liste des espèces végétales protégées en région Midi-Pyrénées complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=DEVN0540057A","not harvested"
"Empetrum nigrum",96069,"PR","Protection régionale","Protection","RV41","Lorraine","Ancienne région","Arrêté interministériel du 3 janvier 1994 relatif à la liste des espèces végétales protégées en région Lorraine complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9430004A","not harvested"
"Empetrum nigrum",96069,"PR","Protection régionale","Protection","RV43","Franche-Comté","Ancienne région","Arrêté interministériel du 22 juin 1992 relatif à la liste des espèces végétales protégées en région Franche-Comté complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9250168A","not harvested"
"Endressia pyrenaica",96079,"PR","Protection régionale","Protection","RV73","Midi-Pyrénées","Ancienne région","Arrêté interministériel du 30 décembre 2004 relatif à la liste des espèces végétales protégées en région Midi-Pyrénées complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=DEVN0540057A","not harvested"
"Ephedra distachya",96101,"PR","Protection régionale","Protection","RV82","Rhône-Alpes","Ancienne région","Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale","https://www.legifrance.gouv.fr/loda/id/LEGITEXT000006059516/","harvested"
"Ephedra distachya",96101,"PR","Protection régionale","Protection","RV93","Provence-Alpes-Côte-d'Azur","Région","Arrêté interministériel du 9 mai 1994 relatif à la liste des espèces végétales protégées en région Provence-Alpes-Côte-d'Azur","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9430087A","harvested"
"Ephedra distachya",96101,"PR","Protection régionale","Protection","RV72","Aquitaine","Ancienne région","Arrêté interministériel du 8 mars 2002 relatif à la liste des espèces végétales protégées en région Aquitaine complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ATEN0210069A","harvested"
"Ephedra major",96106,"PR","Protection régionale","Protection","RV93","Provence-Alpes-Côte-d'Azur","Région","Arrêté interministériel du 9 mai 1994 relatif à la liste des espèces végétales protégées en région Provence-Alpes-Côte-d'Azur","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9430087A","not harvested"
"Ephedra major",96106,"PR","Protection régionale","Protection","RV91","Languedoc-Roussillon","Ancienne région","Arrêté interministériel du 29 octobre 1997 relatif à la liste des espèces végétales protégées en région Languedoc-Roussillon","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ATEN9760338A","not harvested"
"Epilobium alsinifolium",96130,"PR","Protection régionale","Protection","RV43","Franche-Comté","Ancienne région","Arrêté interministériel du 22 juin 1992 relatif à la liste des espèces végétales protégées en région Franche-Comté complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9250168A","not harvested"
"Epilobium anagallidifolium",96134,"PR","Protection régionale","Protection","RV43","Franche-Comté","Ancienne région","Arrêté interministériel du 22 juin 1992 relatif à la liste des espèces végétales protégées en région Franche-Comté complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9250168A","not harvested"
"Chamaenerion dodonaei",1019304,"PR","Protection régionale","Protection","RV73","Midi-Pyrénées","Ancienne région","Arrêté interministériel du 30 décembre 2004 relatif à la liste des espèces végétales protégées en région Midi-Pyrénées complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=DEVN0540057A","harvested"
"Chamaenerion dodonaei",1019304,"PR","Protection régionale","Protection","RV21","Champagne-Ardenne","Ancienne région","Arrêté interministériel du 8 février 1988 relatif à la liste des espèces végétales protégées en région Champagne-Ardenne complétant la liste nationale","https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000847021","harvested"
"Epilobium duriaei",96165,"PR","Protection régionale","Protection","RV42","Alsace","Ancienne région","Arrêté interministériel du 28 juin 1993 relatif à la liste des espèces végétales protégées en région Alsace complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9320251A","not harvested"
"Epilobium duriaei",96165,"PR","Protection régionale","Protection","RV43","Franche-Comté","Ancienne région","Arrêté interministériel du 22 juin 1992 relatif à la liste des espèces végétales protégées en région Franche-Comté complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9250168A","not harvested"
"Epilobium nutans",96218,"PR","Protection régionale","Protection","RV42","Alsace","Ancienne région","Arrêté interministériel du 28 juin 1993 relatif à la liste des espèces végétales protégées en région Alsace complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9320251A","not harvested"
"Epipactis atrorubens",96432,"PR","Protection régionale","Protection","RV52","Pays-de-la-Loire","Région","Arrêté interministériel du 25 janvier 1993 relatif à la liste des espèces végétales protégées en région Pays-de-la-Loire complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9320049A","not harvested"
"Epipactis atrorubens",96432,"PR","Protection régionale","Protection","RV24","Centre","Région","Arrêté interministériel du 12 mai 1993 relatif à la liste des espèces végétales protégées en région Centre complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9320237A","not harvested"
"Epipactis atrorubens",96432,"PR","Protection régionale","Protection","RV25","Basse-Normandie","Ancienne région","Arrêté interministériel du 27 avril 1995 relatif à la liste des espèces végétales protégées en région Basse-Normandie complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9540070A","not harvested"
"Epipactis atrorubens",96432,"PR","Protection régionale","Protection","RV54","Poitou-Charentes","Ancienne région","Arrêté interministériel du 19 avril 1988 relatif à la liste des espèces végétales protégées en région Poitou-Charentes complétant la liste nationale","https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000663820/","not harvested"
"Epipactis atrorubens",96432,"PR","Protection régionale","Protection","RV23","Haute-Normandie","Ancienne région","Arrêté interministériel du 3 avril 1990 relatif à la liste des espèces végétales protégées en région Haute-Normandie complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=PRME9061200A","not harvested"
"Epipactis helleborine",96447,"PD","Protection départementale","Protection","DV33","Gironde","Département","Arrêté interministériel du 8 mars 2002 relatif à la liste des espèces végétales protégées en région Aquitaine complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ATEN0210069A","not harvested"
"Epipactis leptochila",96449,"PR","Protection régionale","Protection","RV42","Alsace","Ancienne région","Arrêté interministériel du 28 juin 1993 relatif à la liste des espèces végétales protégées en région Alsace complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9320251A","not harvested"
"Epipactis leptochila",96449,"PR","Protection régionale","Protection","RV41","Lorraine","Ancienne région","Arrêté interministériel du 3 janvier 1994 relatif à la liste des espèces végétales protégées en région Lorraine complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9430004A","not harvested"
"Epipactis microphylla",96454,"PR","Protection régionale","Protection","RV41","Lorraine","Ancienne région","Arrêté interministériel du 3 janvier 1994 relatif à la liste des espèces végétales protégées en région Lorraine complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9430004A","not harvested"
"Epipactis microphylla",96454,"PR","Protection régionale","Protection","RV82","Rhône-Alpes","Ancienne région","Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale","https://www.legifrance.gouv.fr/loda/id/LEGITEXT000006059516/","not harvested"
"Epipactis microphylla",96454,"PR","Protection régionale","Protection","RV24","Centre","Région","Arrêté interministériel du 12 mai 1993 relatif à la liste des espèces végétales protégées en région Centre complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9320237A","not harvested"
"Epipactis microphylla",96454,"PR","Protection régionale","Protection","RV52","Pays-de-la-Loire","Région","Arrêté interministériel du 25 janvier 1993 relatif à la liste des espèces végétales protégées en région Pays-de-la-Loire complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9320049A","not harvested"
"Epipactis microphylla",96454,"PR","Protection régionale","Protection","RV54","Poitou-Charentes","Ancienne région","Arrêté interministériel du 19 avril 1988 relatif à la liste des espèces végétales protégées en région Poitou-Charentes complétant la liste nationale","https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000663820/","not harvested"
"Epipactis microphylla",96454,"PR","Protection régionale","Protection","RV42","Alsace","Ancienne région","Arrêté interministériel du 28 juin 1993 relatif à la liste des espèces végétales protégées en région Alsace complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9320251A","not harvested"
"Epipactis microphylla",96454,"PR","Protection régionale","Protection","RV72","Aquitaine","Ancienne région","Arrêté interministériel du 8 mars 2002 relatif à la liste des espèces végétales protégées en région Aquitaine complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ATEN0210069A","not harvested"
"Epipactis microphylla",96454,"PR","Protection régionale","Protection","RV83","Auvergne","Ancienne région","Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=PRME9061196A","not harvested"
"Epipactis microphylla",96454,"PR","Protection régionale","Protection","RV74","Limousin","Ancienne région","Arrêté interministériel du 1er septembre 1989 relatif à la liste des espèces végétales protégées en région Limousin complétant la liste nationale","https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000690918/","not harvested"
"Epipactis microphylla",96454,"PR","Protection régionale","Protection","RV43","Franche-Comté","Ancienne région","Arrêté interministériel du 22 juin 1992 relatif à la liste des espèces végétales protégées en région Franche-Comté complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9250168A","not harvested"
"Epipactis muelleri",96456,"PR","Protection régionale","Protection","RV42","Alsace","Ancienne région","Arrêté interministériel du 28 juin 1993 relatif à la liste des espèces végétales protégées en région Alsace complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9320251A","not harvested"
"Epipactis muelleri",96456,"PR","Protection régionale","Protection","RV54","Poitou-Charentes","Ancienne région","Arrêté interministériel du 19 avril 1988 relatif à la liste des espèces végétales protégées en région Poitou-Charentes complétant la liste nationale","https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000663820/","not harvested"
"Epipactis muelleri",96456,"PR","Protection régionale","Protection","RV41","Lorraine","Ancienne région","Arrêté interministériel du 3 janvier 1994 relatif à la liste des espèces végétales protégées en région Lorraine complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9430004A","not harvested"
"Epipactis muelleri",96456,"PR","Protection régionale","Protection","RV52","Pays-de-la-Loire","Région","Arrêté interministériel du 25 janvier 1993 relatif à la liste des espèces végétales protégées en région Pays-de-la-Loire complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9320049A","not harvested"
"Epipactis palustris",96465,"PR","Protection régionale","Protection","RV26","Bourgogne","Ancienne région","Arrêté interministériel du 27 mars 1992 relatif à la liste des espèces végétales protégées en région Bourgogne complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9250096A","not harvested"
"Epipactis palustris",96465,"PR","Protection régionale","Protection","RV31","Nord-Pas-de-Calais","Ancienne région","Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale","http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000000871938&fastPos=1&fastReqId=1531059809&categorieLien=cid&oldAction=rechTexte","not harvested"
"Epipactis palustris",96465,"PR","Protection régionale","Protection","RV24","Centre","Région","Arrêté interministériel du 12 mai 1993 relatif à la liste des espèces végétales protégées en région Centre complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ENVN9320237A","not harvested"
"Epipactis palustris",96465,"PR","Protection régionale","Protection","RV23","Haute-Normandie","Ancienne région","Arrêté interministériel du 3 avril 1990 relatif à la liste des espèces végétales protégées en région Haute-Normandie complétant la liste nationale","http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=PRME9061200A","not harvested"
