"CD_REF","LB_NOM","FAMILLE","nombre_protections","nombre_reglementations","LRM","LRN","Provence-Alpes-Côte-d'Azur","Limousin","Centre","Poitou-Charentes","Franche-Comté","Aquitaine","Corse","Haute-Normandie","Basse-Normandie","Pays-de-la-Loire","Nord-Pas-de-Calais","Champagne-Ardenne","Picardie","Ile-de-France","Midi-Pyrénées","Auvergne","Bretagne","Bourgogne","Lorraine","Alsace","Rhône-Alpes","Hauts-de-France","harvested"
611567,"Torilis africana","Apiaceae",0,0,NA,"LC",NA,NA,NA,"DD",NA,"VU","LC",NA,NA,"DD",NA,NA,NA,NA,"LC","DD","LC",NA,NA,NA,"LC",NA,"not harvested"
126846,"Torilis arvensis","Apiaceae",0,0,NA,"LC",NA,"LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","NT","LC","LC",NA,"not harvested"
126859,"Torilis japonica","Apiaceae",0,0,NA,"LC",NA,"LC","LC","LC","LC","LC","NT","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC",NA,"not harvested"
126861,"Torilis leptophylla","Apiaceae",0,0,NA,"LC",NA,NA,NA,NA,NA,"CR*","RE",NA,NA,NA,NA,NA,NA,NA,"DD","EN",NA,NA,NA,NA,"LC",NA,"not harvested"
126865,"Torilis nodosa","Apiaceae",0,0,NA,"LC",NA,"VU","LC","LC",NA,"LC","LC","NT","LC","LC","VU","LC","VU","LC","LC","LC","LC","LC",NA,NA,"LC",NA,"not harvested"
126925,"Tozzia alpina","Orobanchaceae",3,0,NA,"LC",NA,NA,NA,NA,"NT","NT",NA,NA,NA,NA,NA,NA,NA,NA,"LC","EN",NA,NA,NA,NA,"LC",NA,"not harvested"
161784,"Tractema lilio-hyacinthus","Asparagaceae",3,0,NA,"LC",NA,"LC","LC",NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,"LC","LC",NA,NA,NA,NA,"VU",NA,"not harvested"
717670,"Tractema umbellata","Asparagaceae",0,0,NA,"LC",NA,NA,NA,"NT",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
161785,"Tractema verna","Asparagaceae",0,0,NA,"LC",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,"LC",NA,NA,NA,NA,NA,"not harvested"
126995,"Tragopogon angustifolius","Asteraceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
127002,"Tragopogon crocifolius","Asteraceae",0,0,NA,"LC",NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,"DD","EN",NA,NA,NA,NA,"LC",NA,"not harvested"
127005,"Tragopogon dubius","Asteraceae",0,0,NA,"LC",NA,"NT","LC","LC",NA,"LC",NA,"VU","VU","LC",NA,"VU","VU","LC","LC","LC","DD","LC","LC","LC","LC",NA,"not harvested"
127028,"Tragopogon porrifolius","Asteraceae",0,0,NA,"LC",NA,NA,NA,"DD",NA,"LC","LC",NA,NA,"LC",NA,NA,NA,NA,"NT",NA,"LC",NA,NA,NA,"LC",NA,"not harvested"
127029,"Tragopogon pratensis","Asteraceae",0,0,NA,"LC",NA,"LC","LC","LC","LC","LC",NA,"LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC",NA,"harvested"
127070,"Tragus racemosus","Poaceae",0,1,NA,"LC",NA,"NE",NA,"LC",NA,"LC",NA,NA,NA,"LC",NA,NA,NA,NA,"LC","LC",NA,NA,NA,NA,"LC",NA,"not harvested"
127081,"Trapa natans","Lythraceae",6,0,"LC","LC",NA,"VU","VU","EN","LC","EN",NA,NA,"RE","NT",NA,"VU",NA,NA,"DD","NT","VU","LC","VU","VU","EN",NA,"not harvested"
