CD_REF,FAMILLE,Nom scientifique,Rang,Categorie,Commentaires
90681,Amaranthaceae,"Chenopodium album L., 1753",espece,LC,
133219,Amaranthaceae,"Chenopodium album subsp. album L., 1753",sous-espece,LC,
133220,Amaranthaceae,"Chenopodium album subsp. amaranthicolor H.J.Coste & Reyn., 1905",sous-espece,NAa,Exotiques
133226,Amaranthaceae,"Chenopodium album subsp. opulifolium (Schrad. ex W.D.J.Koch & Ziz) Batt., 1890",sous-espece,LC,
90724,Amaranthaceae,"Chenopodium ficifolium Sm., 1800",espece,LC,
90755,Amaranthaceae,"Chenopodium leptophyllum (Nutt. ex Moq.) S.Watson, 1874",espece,NAa,Exotiques
90819,Amaranthaceae,"Chenopodium strictum Roth, 1821",espece,DD,
90836,Amaranthaceae,"Chenopodium vulvaria L., 1753",espece,LC,
717139,Asteraceae,"Chiliadenus glutinosus (L.) Fourr., 1869",espece,LC,
90875,Ericaceae,"Chimaphila maculata (L.) Pursh, 1814",espece,NAa,Exotiques
90877,Ericaceae,"Chimaphila umbellata (L.) W.P.C.Barton, 1817",espece,RE,
717140,Poaceae,"Chimonobambusa quadrangularis (Franceschi) Makino, 1914",espece,NAa,Exotiques
629324,Poaceae,"Chloris gayana Kunth, 1829",espece,NAa,Exotiques
90925,Poaceae,"Chloris virgata Sw., 1797",espece,NAa,Exotiques
90954,Asteraceae,"Chondrilla juncea L., 1753",espece,LC,
91010,Euphorbiaceae,"Chrozophora tinctoria (L.) A.Juss., 1824",espece,LC,
91012,Asteraceae,"Chrysanthemoides monilifera (L.) Norl., 1943",espece,NAa,Exotiques
91116,Poaceae,"Chrysopogon gryllus (L.) Trin., 1820",espece,LC,
91118,Saxifragaceae,"Chrysosplenium alternifolium L., 1753",espece,LC,
91120,Saxifragaceae,"Chrysosplenium oppositifolium L., 1753",espece,LC,
91132,Gentianaceae,"Cicendia filiformis (L.) Delarbre, 1800",espece,LC,
91136,Fabaceae,"Cicer arietinum L., 1753",espece,NAa,Exotiques
91169,Asteraceae,"Cichorium intybus L., 1753",espece,LC,
91172,Asteraceae,"Cichorium pumilum Jacq., 1771",espece,LC,
91199,Apiaceae,"Cicuta virosa L., 1753",espece,VU,
91256,Onagraceae,"Circaea alpina L., 1753",espece,LC,
91258,Onagraceae,"Circaea lutetiana L., 1753",espece,LC,
621080,Asteraceae,"Cirsium acaulon (L.) Scop., 1769",espece,LC,
91282,Asteraceae,"Cirsium alsophilum (Pollini) Soldano, 1994",espece,LC,
91289,Asteraceae,"Cirsium arvense (L.) Scop., 1772",espece,LC,
91300,Asteraceae,"Cirsium canum (L.) All., 1785",espece,NAa,Exotiques
91303,Asteraceae,"Cirsium carniolicum Scop., 1772",espece,LC,
133309,Asteraceae,"Cirsium carniolicum subsp. rufescens (Ramond ex DC.) P.Fourn., 1940",sous-espece,LC,
91314,Asteraceae,"Cirsium creticum (Lam.) d'Urv., 1822",espece,NT,
133311,Asteraceae,"Cirsium creticum subsp. triumfetti (Lacaita) Werner, 1975",sous-espece,NT,
91322,Asteraceae,"Cirsium dissectum (L.) Hill, 1768",espece,LC,
91323,Asteraceae,"Cirsium echinatum (Desf.) DC., 1815",espece,LC,
91327,Asteraceae,"Cirsium eriophorum (L.) Scop., 1772",espece,LC,
91328,Asteraceae,"Cirsium erisithales (Jacq.) Scop., 1769",espece,LC,
91330,Asteraceae,"Cirsium ferox (L.) DC., 1805",espece,LC,
91332,Asteraceae,"Cirsium filipendulum Lange, 1861",espece,LC,
91338,Asteraceae,"Cirsium glabrum DC., 1815",espece,NT,
91346,Asteraceae,"Cirsium heterophyllum (L.) Hill, 1768",espece,LC,
91353,Asteraceae,"Cirsium italicum DC., 1813",espece,NT,
91369,Asteraceae,"Cirsium monspessulanum (L.) Hill, 1768",espece,LC,
91374,Asteraceae,"Cirsium morisianum Rchb.f., 1853",espece,LC,
91378,Asteraceae,"Cirsium oleraceum (L.) Scop., 1769",espece,LC,
91382,Asteraceae,"Cirsium palustre (L.) Scop., 1772",espece,LC,
91394,Asteraceae,"Cirsium pyrenaicum (Jacq.) All., 1785",espece,DD,
91397,Asteraceae,"Cirsium richterianum Gillot, 1880",espece,LC,
91398,Asteraceae,"Cirsium rivulare (Jacq.) All., 1789",espece,LC,
91404,Asteraceae,"Cirsium scabrum (Poir.) Bonnet & Barratte, 1896",espece,NAa,Exotiques
91410,Asteraceae,"Cirsium spinosissimum (L.) Scop., 1769",espece,LC,
91422,Asteraceae,"Cirsium tuberosum (L.) All., 1785",espece,LC,
91430,Asteraceae,"Cirsium vulgare (Savi) Ten., 1838",espece,LC,
133343,Asteraceae,"Cirsium vulgare subsp. crinitum (Boiss. ex DC.) Ar�nes, 1948",sous-espece,DD,
133346,Asteraceae,"Cirsium vulgare subsp. vulgare (Savi) Ten., 1838",sous-espece,LC,
91622,Orobanchaceae,"Cistanche phelypaea (L.) Cout., 1913",espece,NAa,Exotiques
91630,Cistaceae,"Cistus albidus L., 1753",espece,LC,
91646,Cistaceae,"Cistus creticus L., 1759",espece,LC,
91647,Cistaceae,"Cistus crispus L., 1753",espece,NT,
91668,Cistaceae,"Cistus halimifolius L., 1753",espece,LC,
91677,Cistaceae,"Cistus inflatus Pourr. ex Demoly, 1998",espece,VU,
91680,Cistaceae,"Cistus ladanifer L., 1753",espece,NT,
611300,Cistaceae,"Cistus lasianthus Lam., 1786",espece,LC,
612609,Cistaceae,"Cistus lasianthus subsp. alyssoides (Lam.) Demoly, 2006",sous-espece,LC,
91684,Cistaceae,"Cistus laurifolius L., 1753",espece,LC,
133359,Cistaceae,"Cistus laurifolius subsp. laurifolius L., 1753",sous-espece,LC,
133358,Cistaceae,"Cistus laurifolius subsp. atlanticus (Pit.) Sennen & Mauricio, 1933",sous-espece,NAa,Exotiques
91692,Cistaceae,"Cistus monspeliensis L., 1753",espece,LC,
91707,Cistaceae,"Cistus populifolius L., 1753",espece,LC,
91708,Cistaceae,"Cistus pouzolzii Delile, 1840",espece,LC,
91715,Cistaceae,"Cistus salviifolius L., 1753",espece,LC,
91727,Cistaceae,"Cistus umbellatus L., 1753",espece,LC,
612436,Cistaceae,"Cistus umbellatus subsp. umbellatus L., 1753",sous-espece,LC,
612435,Cistaceae,"Cistus umbellatus subsp. viscosus (Willk.) Demoly, 2006",sous-espece,NT,
611303,Cucurbitaceae,"Citrullus colocynthis (L.) Schrad., 1838",espece,NAa,Exotiques
91800,Cucurbitaceae,"Citrullus lanatus (Thunb.) Matsum. & Nakai, 1916",espece,NAa,Exotiques
91819,Asteraceae,"Cladanthus mixtus (L.) Chevall., 1827",espece,LC,
91823,Cyperaceae,"Cladium mariscus (L.) Pohl, 1809",espece,LC,
91848,Montiaceae,"Claytonia perfoliata Donn ex Willd., 1798",espece,NAa,Exotiques
91853,Ranunculaceae,"Clematis alpina (L.) Mill., 1768",espece,LC,
91862,Ranunculaceae,"Clematis cirrhosa L., 1753",espece,LC,
91867,Ranunculaceae,"Clematis flammula L., 1753",espece,LC,
91880,Ranunculaceae,"Clematis recta L., 1753",espece,LC,
91886,Ranunculaceae,"Clematis vitalba L., 1753",espece,LC,
91887,Ranunculaceae,"Clematis viticella L., 1753",espece,NAa,Exotiques
91898,Lamiaceae,"Clinopodium acinos (L.) Kuntze, 1891",espece,LC,
91900,Lamiaceae,"Clinopodium alpinum (L.) Kuntze, 1891",espece,LC,
612442,Lamiaceae,"Clinopodium alpinum subsp. alpinum (L.) Kuntze, 1891",sous-espece,LC,
612441,Lamiaceae,"Clinopodium alpinum subsp. meridionale (Nyman) Govaerts, 1999",sous-espece,LC,
611087,Lamiaceae,"Clinopodium corsicum (Pers.) Govaerts, 1999",espece,LC,
91904,Lamiaceae,"Clinopodium grandiflorum (L.) Kuntze, 1891",espece,LC,
91910,Lamiaceae,"Clinopodium nepeta (L.) Kuntze, 1891",espece,LC,
718220,Lamiaceae,"Clinopodium nepeta subsp. ascendens (Jord.) B.Bock, 2012",sous-espece,LC,
718332,Lamiaceae,"Clinopodium nepeta subsp. nepeta (L.) Kuntze, 1891",sous-espece,LC,
788968,Lamiaceae,"Clinopodium nepeta subsp. sylvaticum (Bromf.) B.Bock, 2012",sous-espece,LC,
91912,Lamiaceae,"Clinopodium vulgare L., 1753",espece,LC,
611703,Brassicaceae,"Clypeola cyclodontea Delile, 1880",espece,NAa,Exotiques
91930,Brassicaceae,"Clypeola jonthlaspi L., 1753",espece,LC,
91941,Rutaceae,"Cneorum tricoccon L., 1753",espece,LC,
92026,Brassicaceae,"Cochlearia aestuaria (J.Lloyd) Heywood, 1964",espece,NT,
92029,Brassicaceae,"Cochlearia anglica L., 1759",espece,LC,
92038,Brassicaceae,"Cochlearia danica L., 1753",espece,LC,
92052,Brassicaceae,"Cochlearia officinalis L., 1753",espece,LC,
92054,Brassicaceae,"Cochlearia pyrenaica DC., 1821",espece,LC,
92097,Orchidaceae,"Coeloglossum viride (L.) Hartm., 1820",espece,NT,
92106,Brassicaceae,"Coincya monensis (L.) Greuter & Burdet, 1983",espece,LC,
133401,Brassicaceae,"Coincya monensis subsp. cheiranthos (Vill.) Aedo, Leadlay & Mu�oz Garm., 1993",sous-espece,LC,
92107,Brassicaceae,"Coincya richeri (Vill.) Greuter & Burdet, 1983",espece,LC,
92114,Poaceae,"Coix lacryma-jobi L., 1753",espece,NAa,Exotiques
92124,Colchicaceae,"Colchicum alpinum DC., 1805",espece,LC,
159903,Colchicaceae,"Colchicum arenasii Fridl., 1999",espece,NT,
92127,Colchicaceae,"Colchicum autumnale L., 1753",espece,LC,
92132,Colchicaceae,"Colchicum bulbocodium Ker Gawl., 1807",espece,LC,
92136,Colchicaceae,"Colchicum corsicum Baker, 1879",espece,NT,
92138,Colchicaceae,"Colchicum cupanii Guss., 1827",espece,NAa,Exotiques
92139,Colchicaceae,"Colchicum filifolium (Cambess.) Stef., 1926",espece,EN,
92146,Colchicaceae,"Colchicum longifolium Castagne, 1845",espece,LC,
92148,Colchicaceae,"Colchicum montanum L., 1753",espece,LC,
717143,Colchicaceae,"Colchicum nanum K.Perss., 2007",espece,LC,
92171,Poaceae,"Coleanthus subtilis (Tratt.) Seidl ex Roem. & Schult., 1817",espece,NT,
92175,Asteraceae,"Coleostephus myconis (L.) Cass. ex Rchb.f., 1854",espece,LC,
92179,Polemoniaceae,"Collomia grandiflora Douglas ex Lindl., 1828",espece,NAa,Exotiques
447722,Araceae,"Colocasia esculenta (L.) Schott, 1832",espece,NAa,Exotiques
92196,Fabaceae,"Colutea arborescens L., 1753",espece,LC,
92198,Fabaceae,"Colutea brevialata Lange, 1862",espece,LC,
92217,Rosaceae,"Comarum palustre L., 1753",espece,LC,
92220,Gentianaceae,"Comastoma tenellum (Rottb.) Toyok., 1961",espece,LC,
92222,Commelinaceae,"Commelina communis L., 1753",espece,NAa,Exotiques
92237,Apiaceae,"Conium maculatum L., 1753",espece,LC,
92242,Apiaceae,"Conopodium majus (Gouan) Loret, 1886",espece,LC,
92245,Apiaceae,"Conopodium pyrenaeum (Loisel.) Mi�gev., 1874",espece,LC,
92254,Brassicaceae,"Conringia orientalis (L.) Dumort., 1827",espece,EN,
92282,Asparagaceae,"Convallaria majalis L., 1753",espece,LC,
92297,Convolvulaceae,"Convolvulus althaeoides L., 1753",espece,LC,
92302,Convolvulaceae,"Convolvulus arvensis L., 1753",espece,LC,
92306,Convolvulaceae,"Convolvulus betonicifolius Mill., 1768",espece,NAa,Exotiques
92308,Convolvulaceae,"Convolvulus cantabrica L., 1753",espece,LC,
92316,Convolvulaceae,"Convolvulus dubius J.L.Gilbert, 1963",espece,NAa,Exotiques
92329,Convolvulaceae,"Convolvulus lanuginosus Desr., 1792",espece,LC,
92331,Convolvulaceae,"Convolvulus lineatus L., 1759",espece,LC,
92348,Convolvulaceae,Convolvulus sabatius Viv.,espece,NAa,Exotiques
92353,Convolvulaceae,"Convolvulus sepium L., 1753",espece,LC,
92356,Convolvulaceae,"Convolvulus siculus L., 1753",espece,LC,
92357,Convolvulaceae,"Convolvulus silvaticus Kit., 1805",espece,NAa,Exotiques
92358,Convolvulaceae,"Convolvulus soldanella L., 1753",espece,LC,
92364,Convolvulaceae,"Convolvulus tricolor L., 1753",espece,NAa,Exotiques
92421,Orchidaceae,"Corallorhiza trifida Ch�tel., 1760",espece,LC,
92436,Ericaceae,"Corema alba (L.) D.Don, 1830",espece,NAa,Exotiques
92449,Asteraceae,"Coreopsis lanceolata L., 1753",espece,NAa,Exotiques
92453,Asteraceae,"Coreopsis tinctoria Nutt., 1821",espece,NAa,Exotiques
92465,Apiaceae,"Coriandrum sativum L., 1753",espece,NAa,Exotiques
92467,Coriariaceae,"Coriaria myrtifolia L., 1753",espece,LC,
92478,Primulaceae,"Coris monspeliensis L., 1753",espece,LC,
92481,Amaranthaceae,"Corispermum gallicum Iljin, 1929",espece,VU,
611096,Amaranthaceae,"Corispermum gmelini Bunge, 1879",espece,NAa,Exotiques
611097,Amaranthaceae,"Corispermum leptopterum (Asch.) Iljin, 1929",espece,NAa,Exotiques
92486,Apiaceae,"Coristospermum ferulaceum (All.) Reduron, Charpin & Pimenov, 1997",espece,LC,
92487,Apiaceae,"Coristospermum lucidum (Mill.) Reduron, Charpin & Pimenov, 1997",espece,LC,
92497,Cornaceae,"Cornus mas L., 1753",espece,LC,
92501,Cornaceae,"Cornus sanguinea L., 1753",espece,LC,
892320,Cornaceae,"Cornus sanguinea subsp. australis (C.A.Mey.) J�v., 1978",sous-espece,NAa,Exotiques
133432,Cornaceae,"Cornus sanguinea subsp. sanguinea L., 1753",sous-espece,LC,
159937,Cornaceae,"Cornus sericea L., 1771",espece,NAa,Exotiques
92515,Fabaceae,"Coronilla coronata L., 1759",espece,LC,
160432,Fabaceae,"Coronilla cretica L., 1753",espece,NAa,Exotiques
92521,Fabaceae,"Coronilla glauca L., 1755",espece,LC,
92525,Fabaceae,"Coronilla juncea L., 1753",espece,LC,
92527,Fabaceae,"Coronilla minima L., 1756",espece,LC,
133436,Fabaceae,"Coronilla minima subsp. minima L., 1756",sous-espece,LC,
133435,Fabaceae,"Coronilla minima subsp. lotoides (W.D.J.Koch) Nyman, 1878",sous-espece,LC,
92536,Fabaceae,"Coronilla scorpioides (L.) W.D.J.Koch, 1837",espece,LC,
92537,Fabaceae,"Coronilla securidaca L., 1753",espece,VU,
92543,Fabaceae,"Coronilla vaginalis Lam., 1786",espece,LC,
92544,Fabaceae,"Coronilla valentina L., 1753",espece,LC,
92546,Fabaceae,"Coronilla varia L., 1753",espece,LC,
92566,Molluginaceae,"Corrigiola littoralis L., 1753",espece,LC,
92567,Molluginaceae,"Corrigiola telephiifolia Pourr., 1788",espece,LC,
92572,Poaceae,"Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn., 1900",espece,NAa,Exotiques
92581,Papaveraceae,"Corydalis cava (L.) Schweigg. & K�rte, 1811",espece,LC,
92589,Papaveraceae,"Corydalis intermedia (L.) M�rat, 1812",espece,LC,
92593,Papaveraceae,"Corydalis pumila (Host) Rchb., 1832",espece,LC,
92594,Papaveraceae,"Corydalis solida (L.) Clairv., 1811",espece,LC,
92606,Betulaceae,"Corylus avellana L., 1753",espece,LC,
92609,Betulaceae,"Corylus maxima Mill., 1768",espece,NAa,Exotiques
92613,Poaceae,"Corynephorus articulatus (Desf.) P.Beauv., 1812",espece,LC,
92614,Poaceae,"Corynephorus canescens (L.) P.Beauv., 1812",espece,LC,
92615,Poaceae,"Corynephorus divaricatus (Pourr.) Breistr., 1950",espece,LC,
92619,Pteridaceae,"Cosentinia vellea (Aiton) Tod., 1866",espece,VU,
92623,Asteraceae,"Cosmos bipinnatus Cav., 1791",espece,NAa,Exotiques
92624,Asteraceae,"Cosmos sulphureus Cav., 1791",espece,NAa,Exotiques
92627,Asteraceae,"Cota altissima (L.) J.Gay ex Guss., 1844",espece,LC,
92629,Asteraceae,"Cota tinctoria (L.) J.Gay ex Guss., 1844",espece,DD,
92630,Asteraceae,"Cota triumfetti (L.) J.Gay ex Guss., 1844",espece,LC,
92631,Anacardiaceae,"Cotinus coggygria Scop., 1771",espece,LC,
92642,Rosaceae,"Cotoneaster bullatus Bois, 1905",espece,NAa,Exotiques
717150,Rosaceae,"Cotoneaster coriaceus Franch., 1890",espece,NAa,Exotiques
92649,Rosaceae,"Cotoneaster dammeri C.K.Schneid., 1906",espece,NAa,Exotiques
92651,Rosaceae,"Cotoneaster delphinensis Chatenier, 1923",espece,VU,
92652,Rosaceae,"Cotoneaster dielsianus E.Pritz. ex Diels, 1901",espece,NAa,Exotiques
92654,Rosaceae,"Cotoneaster divaricatus Rehder & E.H.Wilson, 1912",espece,NAa,Exotiques
92658,Rosaceae,"Cotoneaster franchetii Bois, 1902",espece,NAa,Exotiques
92662,Rosaceae,"Cotoneaster hjelmqvistii Flinck & B.Hylm�, 1991",espece,NAa,Exotiques
92663,Rosaceae,"Cotoneaster horizontalis Decne., 1879",espece,NAa,Exotiques
92667,Rosaceae,"Cotoneaster integerrimus Medik., 1793",espece,LC,
92668,Rosaceae,"Cotoneaster integrifolius (Roxb.) G.Klotz, 1963",espece,NAa,Exotiques
717152,Rosaceae,"Cotoneaster nebrodensis (Guss.) K.Koch, 1853",espece,LC,
92698,Rosaceae,"Cotoneaster pyrenaicus Gand., 1875",espece,LC,
92700,Rosaceae,"Cotoneaster raboutensis Flinck, Fryer, Garraud, Hylm� & Zeller, 1998",espece,NT,
92704,Rosaceae,"Cotoneaster salicifolius Franch., 1885",espece,NAa,Exotiques
92705,Rosaceae,"Cotoneaster simonsii Baker, 1869",espece,NAa,Exotiques
92710,Rosaceae,"Cotoneaster tomentosus Lindl., 1822",espece,LC,
717153,Rosaceae,"Cotoneaster uniflorus Bunge, 1830",espece,DD,
92722,Asteraceae,"Cotula australis (Sieber ex Spreng.) Hook.f., 1853",espece,NAa,Exotiques
92723,Asteraceae,"Cotula coronopifolia L., 1753",espece,NAa,Exotiques
92734,Crassulaceae,"Cotyledon orbiculata L., 1753",espece,NAa,Exotiques
92782,Brassicaceae,"Crambe maritima L., 1753",espece,LC,
159610,Crassulaceae,"Crassula alata (Viv.) A.Berger, 1930",espece,NAa,Exotiques
92793,Crassulaceae,"Crassula helmsii (Kirk) Cockayne, 1907",espece,NAa,Exotiques
92799,Crassulaceae,"Crassula muscosa L., 1760",espece,NAa,Exotiques
92806,Crassulaceae,"Crassula tillaea Lest.-Garl., 1903",espece,LC,
92807,Crassulaceae,"Crassula vaillantii (Willd.) Roth, 1827",espece,NT,
92824,Rosaceae,"Crataegus azarolus L., 1753",espece,NAa,Exotiques
92840,Rosaceae,"Crataegus crus-galli L., 1753",espece,NAa,Exotiques
92854,Rosaceae,"Crataegus germanica (L.) Kuntze, 1891",espece,LC,
92864,Rosaceae,"Crataegus laevigata (Poir.) DC., 1825",espece,LC,
92876,Rosaceae,"Crataegus monogyna Jacq., 1775",espece,LC,
92900,Rosaceae,"Crataegus rosiformis Janka, 1874",espece,LC,
92996,Asteraceae,"Crepis albida Vill., 1779",espece,LC,
93004,Asteraceae,"Crepis aurea (L.) Tausch, 1828",espece,LC,
93014,Asteraceae,"Crepis bellidifolia Loisel., 1807",espece,LC,
93015,Asteraceae,"Crepis biennis L., 1753",espece,LC,
93020,Asteraceae,"Crepis bursifolia L., 1753",espece,NAa,Exotiques
93023,Asteraceae,"Crepis capillaris (L.) Wallr., 1840",espece,LC,
93027,Asteraceae,"Crepis conyzifolia (Gouan) A.Kern., 1872",espece,LC,
93036,Asteraceae,"Crepis dioscoridis L., 1763",espece,NAa,Exotiques
93045,Asteraceae,"Crepis foetida L., 1753",espece,LC,
133503,Asteraceae,"Crepis foetida subsp. foetida L., 1753",sous-espece,LC,
133504,Asteraceae,"Crepis foetida subsp. glandulosa (Guss.) Arcang., 1882",sous-espece,LC,
133508,Asteraceae,"Crepis foetida subsp. rhoeadifolia (M.Bieb.) Celak., 1871",sous-espece,NAa,Exotiques
93075,Asteraceae,"Crepis lampsanoides (Gouan) Tausch, 1828",espece,LC,
93079,Asteraceae,"Crepis leontodontoides All., 1789",espece,LC,
93086,Asteraceae,"Crepis micrantha Czerep., 1964",espece,NAa,Exotiques
93088,Asteraceae,"Crepis mollis (Jacq.) Asch., 1864",espece,LC,
93097,Asteraceae,"Crepis nicaeensis Balb., 1807",espece,LC,
93101,Asteraceae,"Crepis paludosa (L.) Moench, 1794",espece,LC,
611105,Asteraceae,"Crepis pontana Dalla Torre, 1882",espece,LC,
93112,Asteraceae,"Crepis praemorsa (L.) Walther, 1802",espece,VU,
93114,Asteraceae,"Crepis pulchra L., 1753",espece,LC,
93115,Asteraceae,"Crepis pygmaea L., 1753",espece,LC,
93116,Asteraceae,"Crepis pyrenaica (L.) Greuter, 1970",espece,LC,
93122,Asteraceae,"Crepis rhaetica Hegetschw., 1839",espece,NT,
93125,Asteraceae,"Crepis rubra L., 1753",espece,NAa,Exotiques
93129,Asteraceae,"Crepis sancta (L.) Bornm., 1913",espece,NAa,Exotiques
93134,Asteraceae,"Crepis setosa Haller f., 1797",espece,LC,
93140,Asteraceae,"Crepis suffreniana (DC.) J.Lloyd, 1844",espece,LC,
93144,Asteraceae,"Crepis tectorum L., 1753",espece,NAa,Exotiques
93157,Asteraceae,"Crepis vesicaria L., 1753",espece,LC,
133530,Asteraceae,"Crepis vesicaria subsp. stellata (Ball) Babc., 1947",sous-espece,NAa,Exotiques
133531,Asteraceae,"Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell. ex Schinz & R.Keller, 1914",sous-espece,LC,
93167,Asteraceae,"Crepis zacintha (L.) Loisel., 1807",espece,LC,
93171,Convolvulaceae,"Cressa cretica L., 1753",espece,LC,
93190,Apiaceae,"Crithmum maritimum L., 1753",espece,LC,
93217,Iridaceae,"Crocus corsicus Vanucchi ex Maw, 1878",espece,LC,
93236,Iridaceae,"Crocus ligusticus Mariotti, 1988",espece,VU,
93243,Iridaceae,"Crocus minimus DC., 1804",espece,LC,
93248,Iridaceae,"Crocus neapolitanus (Ker Gawl.) Loisel., 1817",espece,DD,
93250,Iridaceae,"Crocus nudiflorus Sm., 1798",espece,LC,
93282,Iridaceae,"Crocus vernus (L.) Hill, 1765",espece,LC,
93284,Iridaceae,"Crocus versicolor Ker Gawl., 1808",espece,LC,
93295,Rubiaceae,"Crucianella angustifolia L., 1753",espece,LC,
93297,Rubiaceae,"Crucianella latifolia L., 1753",espece,LC,
93298,Rubiaceae,"Crucianella maritima L., 1753",espece,LC,
93307,Rubiaceae,"Cruciata glabra (L.) Ehrend., 1958",espece,LC,
93308,Rubiaceae,"Cruciata laevipes Opiz, 1852",espece,LC,
93309,Rubiaceae,"Cruciata pedemontana (Bellardi) Ehrend., 1958",espece,LC,
93442,Asteraceae,"Crupina crupinastrum (Moris) Vis., 1847",espece,LC,
93449,Asteraceae,"Crupina vulgaris Cass., 1817",espece,LC,
93454,Poaceae,"Crypsis aculeata (L.) Aiton, 1789",espece,LC,
93456,Poaceae,"Crypsis alopecuroides (Piller & Mitterp.) Schrad., 1806",espece,LC,
93463,Poaceae,"Crypsis schoenoides (L.) Lam., 1791",espece,LC,
93469,Pteridaceae,"Cryptogramma crispa (L.) R.Br., 1842",espece,LC,
93555,Cucurbitaceae,"Cucurbita pepo L., 1753",espece,NAa,Exotiques
93564,Apiaceae,"Cuminum cyminum L., 1753",espece,NAa,Exotiques
93570,Cupressaceae,"Cupressus arizonica Greene, 1882",espece,NAa,Exotiques
93585,Cupressaceae,"Cupressus macrocarpa Hartw., 1847",espece,NAa,Exotiques
93590,Cupressaceae,"Cupressus sempervirens L., 1753",espece,NAa,Exotiques
93601,Convolvulaceae,"Cuscuta approximata Bab., 1844",espece,DD,
93613,Convolvulaceae,"Cuscuta campestris Yunck., 1932",espece,NAa,Exotiques
93620,Convolvulaceae,"Cuscuta epilinum Weihe, 1824",espece,NAa,Exotiques
93621,Convolvulaceae,"Cuscuta epithymum (L.) L., 1774",espece,LC,
133565,Convolvulaceae,"Cuscuta epithymum subsp. epithymum (L.) L., 1774",sous-espece,LC,
133564,Convolvulaceae,"Cuscuta epithymum subsp. corsicana (Yunck.) Lambinon, 1993",sous-espece,LC,
133566,Convolvulaceae,"Cuscuta epithymum subsp. kotschyi (Des Moul.) Arcang., 1882",sous-espece,LC,
93623,Convolvulaceae,"Cuscuta europaea L., 1753",espece,LC,
93637,Convolvulaceae,"Cuscuta monogyna Vahl, 1791",espece,EN,
93640,Convolvulaceae,"Cuscuta planiflora Ten., 1829",espece,LC,
93644,Convolvulaceae,"Cuscuta scandens Brot., 1804",espece,LC,
93648,Convolvulaceae,"Cuscuta suaveolens Ser., 1840",espece,NAa,Exotiques
619194,Poaceae,"Cutandia maritima (L.) Benth., 1881",espece,LC,
610678,Asteraceae,"Cyanus depressus (M.Bieb.) Soj�k, 1972",espece,NAa,Exotiques
717745,Asteraceae,Cyanus graminifolius (Lam.) Ol?avsk�,espece,LC,
717746,Asteraceae,"Cyanus lugdunensis (Jord.) Fourr., 1869",espece,NT,
93673,Asteraceae,"Cyanus montanus (L.) Hill, 1768",espece,LC,
93680,Asteraceae,"Cyanus segetum Hill, 1762",espece,LC,
717747,Asteraceae,"Cyanus semidecurrens (Jord.) Holub, 1973",espece,LC,
93682,Asteraceae,"Cyanus triumfettii (All.) Dost�l ex �.L�ve & D.L�ve, 1961",espece,LC,
93695,Primulaceae,"Cyclamen balearicum Willk., 1875",espece,NT,
93699,Primulaceae,"Cyclamen hederifolium Aiton, 1789",espece,LC,
93708,Primulaceae,"Cyclamen purpurascens Mill., 1768",espece,LC,
93710,Primulaceae,"Cyclamen repandum Sm., 1806",espece,LC,
93718,Amaranthaceae,"Cycloloma atriplicifolium (Spreng.) Coult., 1894",espece,NAa,Exotiques
93723,Apiaceae,"Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P.Wilson, 1925",espece,NAa,Exotiques
93734,Rosaceae,"Cydonia oblonga Mill., 1768",espece,NAa,Exotiques
93755,Plantaginaceae,"Cymbalaria aequitriloba (Viv.) A.Chev., 1937",espece,LC,
93762,Plantaginaceae,"Cymbalaria hepaticifolia (Poir.) Wettst., 1891",espece,LC,
93763,Plantaginaceae,"Cymbalaria muralis G.Gaertn., B.Mey. & Scherb., 1800",espece,LC,
93774,Cymodoceaceae,"Cymodocea nodosa (Ucria) Asch., 1869",espece,LC,
93777,Apocynaceae,"Cynanchum acutum L., 1753",espece,LC,
93783,Asteraceae,"Cynara cardunculus L., 1753",espece,VU,
93795,Asteraceae,"Cynara scolymus L., 1753",espece,NAa,Exotiques
93803,Poaceae,"Cynodon dactylon (L.) Pers., 1805",espece,LC,
93828,Boraginaceae,"Cynoglossum creticum Mill., 1768",espece,LC,
93829,Boraginaceae,"Cynoglossum dioscoridis Vill., 1779",espece,NT,
93830,Boraginaceae,"Cynoglossum germanicum Jacq., 1767",espece,LC,
611749,Boraginaceae,"Cynoglossum montanum L., 1753",espece,DD,
93840,Boraginaceae,"Cynoglossum officinale L., 1753",espece,LC,
93844,Boraginaceae,"Cynoglossum pustulatum Boiss., 1838",espece,VU,
93854,Cynomoriaceae,"Cynomorium coccineum L., 1753",espece,VU,
93860,Poaceae,"Cynosurus cristatus L., 1753",espece,LC,
93864,Poaceae,"Cynosurus echinatus L., 1753",espece,LC,
93865,Poaceae,"Cynosurus effusus Link, 1799",espece,LC,
674685,Cyperaceae,"Cyperus alternifolius L., 1767",espece,NAa,Exotiques
93898,Cyperaceae,"Cyperus badius Desf., 1798",espece,LC,
93906,Cyperaceae,"Cyperus capitatus Vand., 1771",espece,LC,
93913,Cyperaceae,"Cyperus congestus Vahl, 1805",espece,NAa,Exotiques
93918,Cyperaceae,"Cyperus difformis L., 1756",espece,NAa,Exotiques
