CD_REF,FAMILLE,Nom scientifique,Rang,Categorie,Commentaires
130714,Sapindaceae,"Acer opalus subsp. obtusatum (Waldst. & Kit. ex Willd.) Gams, 1924",sous-espece,NT,
130715,Sapindaceae,"Acer opalus subsp. opalus Mill., 1768",sous-espece,LC,
79775,Sapindaceae,"Acer palmatum Thunb., 1784",espece,NAa,Exotiques
79779,Sapindaceae,"Acer platanoides L., 1753",espece,LC,
79783,Sapindaceae,"Acer pseudoplatanus L., 1753",espece,LC,
717049,Sapindaceae,"Acer rufinerve Siebold & Zucc., 1845",espece,NAa,Exotiques
79788,Sapindaceae,"Acer saccharinum L., 1753",espece,NAa,Exotiques
79865,Asteraceae,"Achillea ageratum L., 1753",espece,NT,
79868,Asteraceae,"Achillea atrata L., 1753",espece,NT,
79874,Asteraceae,"Achillea chamaemelifolia Pourr., 1788",espece,LC,
896277,Asteraceae,"Achillea collina (Becker ex Wirtg.) Heimerl, 1883",espece,LC,
79877,Asteraceae,"Achillea crithmifolia Waldst. & Kit., 1802",espece,NAa,Exotiques
79886,Asteraceae,"Achillea distans Waldst. & Kit. ex Willd., 1803",espece,LC,
130725,Asteraceae,"Achillea distans subsp. distans Waldst. & Kit. ex Willd., 1803",sous-espece,DD,
130726,Asteraceae,"Achillea distans subsp. tanacetifolia (All.) Janch., 1942",sous-espece,DD,
612382,Asteraceae,"Achillea distans subsp. stricta (Schleich. ex W.D.J.Koch) Janch., 1941",sous-espece,DD,
79887,Asteraceae,"Achillea erba-rotta All., 1773",espece,LC,
130728,Asteraceae,"Achillea erba-rotta subsp. erba-rotta All., 1773",sous-espece,LC,
130729,Asteraceae,"Achillea erba-rotta subsp. moschata (Wulfen) Vacc., 1909",sous-espece,NT,
79890,Asteraceae,"Achillea filipendulina Lam., 1783",espece,NAa,Exotiques
79903,Asteraceae,"Achillea ligustica All., 1773",espece,LC,
79905,Asteraceae,"Achillea macrophylla L., 1753",espece,LC,
610735,Asteraceae,"Achillea maritima (L.) Ehrend. & Y.P.Guo, 2005",espece,LC,
79908,Asteraceae,"Achillea millefolium L., 1753",espece,LC,
79913,Asteraceae,"Achillea nana L., 1753",espece,LC,
79914,Asteraceae,"Achillea nobilis L., 1753",espece,LC,
79915,Asteraceae,"Achillea odorata L., 1759",espece,LC,
79921,Asteraceae,"Achillea ptarmica L., 1753",espece,LC,
130749,Asteraceae,"Achillea ptarmica subsp. ptarmica L., 1753",sous-espece,LC,
130750,Asteraceae,"Achillea ptarmica subsp. pyrenaica (Sibth. ex Godr.) Heimerl, 1884",sous-espece,DD,
79923,Asteraceae,"Achillea roseo-alba Ehrend., 1959",espece,LC,
79939,Asteraceae,"Achillea tomentosa L., 1753",espece,LC,
717051,Poaceae,"Achnatherum bromoides (L.) P.Beauv., 1812",espece,LC,
79970,Poaceae,"Achnatherum calamagrostis (L.) P.Beauv., 1812",espece,LC,
610607,Amaryllidaceae,"Acis fabrei (Qu�zel & Girerd) Lledo, A.P.Davis & M.B.Crespo, 2004",espece,VU,
80000,Amaryllidaceae,"Acis longifolia J.Gay ex M.Roem., 1847",espece,LC,
610608,Amaryllidaceae,"Acis nicaeensis (Ardoino) Lled�, A.P.Davis & M.B.Crespo, 2004",espece,EN,
80003,Amaryllidaceae,"Acis rosea (F.Martin) Sweet, 1829",espece,LC,
80007,Ranunculaceae,"Aconitum anthora L., 1753",espece,LC,
80034,Ranunculaceae,"Aconitum lycoctonum L., 1753",espece,LC,
130772,Ranunculaceae,"Aconitum lycoctonum subsp. neapolitanum (Ten.) Nyman, 1878",sous-espece,LC,
611926,Ranunculaceae,"Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman, 1889",sous-espece,LC,
80037,Ranunculaceae,"Aconitum napellus L., 1753",espece,LC,
