CD_REF,Regroupement,NOM_VALIDE,GBIF,AccSpeciesID,KEW_binomial_acc_name,PFAF_name,PFAF_name
85903,Angiosperm,"Betula pendula Roth, 1788",5331916,7356,Betula pendula,Betula pendula,not_found
85904,Angiosperm,"Betula pubescens Ehrh., 1791",9118014,7359,Betula pubescens,Betula pubescens,Betula pendula
85972,Angiosperm,"Bidens pilosa L., 1753",5391845,7402,Bidens pilosa,Bidens pilosa,Betula pubescens
86081,Angiosperm,"Bistorta officinalis Delarbre, 1800",6390806,7471,Bistorta officinalis,not_found,Bidens pilosa
86087,Angiosperm,"Blackstonia perfoliata (L.) Huds., 1762",6366886,7485,not_found,Blackstonia perfoliata,not_found
994837,Angiosperm,"Blitum bonus-henricus (L.) Rchb., 1832",8044896,408597,Blitum bonus-henricus,not_found,Blackstonia perfoliata
86156,Angiosperm,"Borago officinalis L., 1753",2926110,7725,Borago officinalis,Borago officinalis,not_found
86490,Angiosperm,"Briza media L., 1753",2702789,8361,Briza media,not_found,Borago officinalis
86890,Angiosperm,"Buglossoides arvensis (L.) I.M.Johnst., 1954",2925901,8778,Buglossoides arvensis,Buglossoides arvensis,not_found
86969,Angiosperm,"Bunias erucago L., 1753",3050357,8865,not_found,not_found,Buglossoides arvensis
87044,Angiosperm,"Bupleurum falcatum L., 1753",6027105,8878,Bupleurum falcatum,Bupleurum falcatum,not_found
87143,Angiosperm,"Buxus sempervirens L., 1753",2984671,8964,Buxus sempervirens,Buxus sempervirens,Bupleurum falcatum
87420,Angiosperm,"Calendula arvensis L., 1763",9182765,9482,Calendula arvensis,Calendula arvensis,Buxus sempervirens
87501,Angiosperm,"Calluna vulgaris (L.) Hull, 1808",2882482,9621,Calluna vulgaris,Calluna vulgaris,Calendula arvensis
87540,Angiosperm,"Caltha palustris L., 1753",5371685,9768,Caltha palustris,Caltha palustris,Calluna vulgaris
87690,Angiosperm,"Campanula patula L., 1753",5410564,9957,not_found,not_found,Caltha palustris
87712,Angiosperm,"Campanula rapunculus L., 1753",5411920,9968,Campanula rapunculus,Campanula rapunculus,not_found
87720,Angiosperm,"Campanula rotundifolia L., 1753",5410907,9970,Campanula rotundifolia,not_found,Campanula rapunculus
87742,Angiosperm,"Campanula trachelium L., 1753",5412014,9980,Campanula trachelium,not_found,not_found
87964,Angiosperm,"Cardamine pratensis L., 1753",7972010,10304,Cardamine pratensis,Cardamine pratensis,not_found
89147,Angiosperm,"Carlina acaulis L., 1753",3105433,10746,Carlina acaulis,Carlina acaulis,Cardamine pratensis
89180,Angiosperm,"Carlina vulgaris L., 1753",3105380,10752,Carlina vulgaris,Carlina vulgaris,Carlina acaulis
89200,Angiosperm,"Carpinus betulus L., 1753",2875818,10773,Carpinus betulus,Carpinus betulus,Carlina vulgaris
89232,Angiosperm,"Carthamus lanatus L., 1753",3138230,10811,Carthamus lanatus,not_found,Carpinus betulus
89250,Angiosperm,"Carum carvi L., 1753",3034714,10820,Carum carvi,Carum carvi,not_found
89304,Angiosperm,"Castanea sativa Mill., 1768",5333294,11068,Castanea sativa,Castanea sativa,Carum carvi
89468,Angiosperm,"Celtis australis L., 1753",2984492,11471,Celtis australis,Celtis australis,Castanea sativa
89531,Angiosperm,"Centaurea benedicta (L.) L., 1763",3127691,212628,Centaurea benedicta,not_found,Celtis australis
89542,Angiosperm,"Centaurea calcitrapa L., 1753",3128483,11563,Centaurea calcitrapa,Centaurea calcitrapa,not_found
89619,Angiosperm,"Centaurea jacea L., 1753",3128547,11583,Centaurea jacea,Centaurea jacea,Centaurea calcitrapa
89653,Angiosperm,"Centaurea nigra L., 1753",3128225,11598,Centaurea nigra,Centaurea nigra,Centaurea jacea
89840,Angiosperm,"Centaurium erythraea Rafn, 1800",5414457,11635,Centaurium erythraea,Centaurium erythraea,Centaurea nigra
89888,Angiosperm,"Centranthus ruber (L.) DC., 1805",2888740,11669,Valeriana rubra,Centranthus ruber,Centaurium erythraea
447038,Angiosperm,"Ceratonia siliqua L., 1753",5356354,11825,Ceratonia siliqua,Ceratonia siliqua,Centranthus ruber
90234,Angiosperm,"Cercis siliquastrum L., 1753",5353590,11857,Cercis siliquastrum,Cercis siliquastrum,Ceratonia siliqua
90470,Angiosperm,"Chamaemelum nobile (L.) All., 1785",5391599,12048,Chamaemelum nobile,Chamaemelum nobile,Cercis siliquastrum
90669,Angiosperm,"Chelidonium majus L., 1753",5334186,12151,Chelidonium majus,Chelidonium majus,Chamaemelum nobile
90681,Angiosperm,"Chenopodium album L., 1753",3083838,12159,Chenopodium album,Chenopodium album,Chelidonium majus
90836,Angiosperm,"Chenopodium vulvaria L., 1753",3083932,12245,Chenopodium vulvaria,Chenopodium vulvaria,Chenopodium album
717139,Angiosperm,"Chiliadenus glutinosus (L.) Fourr., 1869",3089839,213567,Chiliadenus glutinosus,not_found,Chenopodium vulvaria
90954,Angiosperm,"Chondrilla juncea L., 1753",8537667,12534,not_found,Chondrilla juncea,not_found
91169,Angiosperm,"Cichorium intybus L., 1753",5392252,12917,Cichorium intybus,Cichorium intybus,Chondrilla juncea
91199,Angiosperm,"Cicuta virosa L., 1753",5371864,12925,Cicuta virosa,Cicuta virosa,Cichorium intybus
621080,Angiosperm,"Cirsium acaulon (L.) Scop., 1769",3112694,13011,not_found,Cirsium acaulon,Cicuta virosa
91289,Angiosperm,"Cirsium arvense (L.) Scop., 1772",3113414,13016,Cirsium arvense,Cirsium arvense,Cirsium acaulon
91410,Angiosperm,"Cirsium spinosissimum (L.) Scop., 1769",8322056,13065,not_found,not_found,Cirsium arvense
91680,Angiosperm,"Cistus ladanifer L., 1753",6437976,13144,Cistus ladanifer,Cistus ladanifer,not_found
91880,Angiosperm,"Clematis recta L., 1753",3033543,13401,Clematis recta,Clematis recta,Cistus ladanifer
