"","CD_REF","LB_NOM","FAMILLE","FR"
"3296",105980,"Lilium candidum","Liliaceae","I"
"3297",105989,"Lilium martagon","Liliaceae","P"
"3298",105991,"Lilium pomponium","Liliaceae","P"
"3299",105992,"Lilium pyrenaicum","Liliaceae","P"
"3300",106000,"Limbarda crithmoides","Asteraceae","P"
"3301",106026,"Limodorum abortivum","Orchidaceae","P"
"3302",106035,"Limodorum trabutianum","Orchidaceae","P"
"3303",106037,"Limoniastrum monopetalum","Plumbaginaceae","P"
"3304",106043,"Limonium articulatum","Plumbaginaceae","P"
"3305",106044,"Limonium auriculae-ursifolium","Plumbaginaceae","P"
"3306",106046,"Limonium bellidifolium","Plumbaginaceae","P"
"3307",106047,"Limonium binervosum","Plumbaginaceae","P"
"3308",106049,"Limonium bonifaciense","Plumbaginaceae","E"
"3309",106053,"Limonium companyonis","Plumbaginaceae","S"
"3310",106055,"Limonium contortirameum","Plumbaginaceae","P"
"3311",106056,"Limonium cordatum","Plumbaginaceae","P"
"3312",106057,"Limonium corsicum","Plumbaginaceae","E"
"3313",106058,"Limonium cuspidatum","Plumbaginaceae","P"
"3314",106059,"Limonium densissimum","Plumbaginaceae","P"
"3315",106064,"Limonium dodartii","Plumbaginaceae","P"
"3316",106066,"Limonium dubium","Plumbaginaceae","E"
"3317",106068,"Limonium duriusculum","Plumbaginaceae","E"
"3318",106070,"Limonium echioides","Plumbaginaceae","P"
"3319",106073,"Limonium florentinum","Plumbaginaceae","E"
"3320",628301,"Limonium geronense","Plumbaginaceae","P"
"3321",106077,"Limonium girardianum","Plumbaginaceae","P"
"3322",106080,"Limonium humile","Plumbaginaceae","P"
"3323",457840,"Limonium lambinonii","Plumbaginaceae","E"
"3324",106083,"Limonium legrandii","Plumbaginaceae","E"
"3325",106088,"Limonium narbonense","Plumbaginaceae","P"
"3326",106091,"Limonium obtusifolium","Plumbaginaceae","E"
"3327",106094,"Limonium ovalifolium","Plumbaginaceae","P"
"3328",106095,"Limonium patrimoniense","Plumbaginaceae","E"
"3329",160018,"Limonium portovecchiense","Plumbaginaceae","E"
"3330",106097,"Limonium pseudominutum","Plumbaginaceae","E"
"3331",106105,"Limonium strictissimum","Plumbaginaceae","E"
"3332",106106,"Limonium tarcoense","Plumbaginaceae","E"
"3333",106111,"Limonium virgatum","Plumbaginaceae","P"
"3334",106112,"Limonium vulgare","Plumbaginaceae","P"
"3335",106128,"Limosella aquatica","Scrophulariaceae","P"
"3336",106144,"Linaria alpina","Plantaginaceae","P"
"3337",106148,"Linaria angustissima","Plantaginaceae","P"
"3338",106149,"Linaria arenaria","Plantaginaceae","E"
"3339",106150,"Linaria arvensis","Plantaginaceae","P"
"3340",106158,"Linaria chalepensis","Plantaginaceae","Y"
"3341",106172,"Linaria flava","Plantaginaceae","P"
"3342",106179,"Linaria incarnata","Plantaginaceae","M"
"3343",106189,"Linaria maroccana","Plantaginaceae","M"
"3344",106191,"Linaria micrantha","Plantaginaceae","P"
"3345",106201,"Linaria pelisseriana","Plantaginaceae","P"
"3346",611063,"Linaria purpurea","Plantaginaceae","M"
"3347",106212,"Linaria reflexa","Plantaginaceae","I"
"3348",106213,"Linaria repens","Plantaginaceae","P"
"3349",106220,"Linaria simplex","Plantaginaceae","P"
"3350",926333,"Linaria spartea","Plantaginaceae","P"
"3351",106226,"Linaria supina","Plantaginaceae","P"
"3352",106229,"Linaria thymifolia","Plantaginaceae","E"
"3353",106230,"Linaria triphylla","Plantaginaceae","P"
"3354",106234,"Linaria vulgaris","Plantaginaceae","P"
"3355",106252,"Lindernia dubia","Linderniaceae","I"
"3356",106258,"Lindernia procumbens","Linderniaceae","P"
"3357",106260,"Linnaea borealis","Caprifoliaceae","P"
"3358",106275,"Linum alpinum","Linaceae","P"
"3359",106280,"Linum austriacum","Linaceae","I"
"3360",106287,"Linum campanulatum","Linaceae","P"
"3361",106288,"Linum catharticum","Linaceae","P"
"3362",106298,"Linum grandiflorum","Linaceae","M"
"3363",106299,"Linum hirsutum","Linaceae","I"
"3364",106306,"Linum leonii","Linaceae","P"
"3365",106313,"Linum maritimum","Linaceae","P"
"3366",106320,"Linum narbonense","Linaceae","P"
"3367",106321,"Linum nodiflorum","Linaceae","Y"
"3368",106342,"Linum strictum","Linaceae","P"
"3369",106346,"Linum tenuifolium","Linaceae","P"
"3370",106347,"Linum trigynum","Linaceae","P"
"3371",106349,"Linum usitatissimum","Linaceae","P"
"3372",106351,"Linum viscosum","Linaceae","P"
"3373",717294,"Lipandra polysperma","Amaranthaceae","P"
"3374",106353,"Liparis loeselii","Orchidaceae","P"
"3375",106361,"Liquidambar styraciflua","Altingiaceae","I"
"3376",106365,"Liriodendron tulipifera","Magnoliaceae","M"
"3377",106374,"Lithodora fruticosa","Boraginaceae","P"
"3378",106396,"Lithospermum officinale","Boraginaceae","P"
"3379",106419,"Littorella uniflora","Plantaginaceae","P"
"3380",106428,"Lobelia dortmanna","Campanulaceae","P"
"3381",106429,"Lobelia erinus","Campanulaceae","M"
"3382",106435,"Lobelia urens","Campanulaceae","P"
"3383",106439,"Lobularia maritima","Brassicaceae","P"
"3384",106446,"Loeflingia hispanica","Caryophyllaceae","P"
"3385",106449,"Logfia gallica","Asteraceae","P"
"3386",106451,"Logfia minima","Asteraceae","P"
"3387",106497,"Lolium multiflorum","Poaceae","P"
"3388",106498,"Lolium parabolicae","Poaceae","P"
"3389",106499,"Lolium perenne","Poaceae","P"
"3390",106504,"Lolium remotum","Poaceae","W"
"3391",106507,"Lolium rigidum","Poaceae","P"
"3392",106517,"Lolium temulentum","Poaceae","P"
"3393",106534,"Lomelosia graminifolia","Caprifoliaceae","P"
"3394",611078,"Lomelosia rutifolia","Caprifoliaceae","P"
"3395",106535,"Lomelosia simplex","Caprifoliaceae","P"
"3396",106536,"Lomelosia stellata","Caprifoliaceae","P"
"3397",106545,"Loncomelos narbonensis","Asparagaceae","P"
"3398",106546,"Loncomelos pyrenaicus","Asparagaceae","P"
"3399",106550,"Lonicera alpigena","Caprifoliaceae","P"
"3400",106555,"Lonicera caerulea","Caprifoliaceae","P"
"3401",106556,"Lonicera caprifolium","Caprifoliaceae","I"
"3402",106565,"Lonicera etrusca","Caprifoliaceae","P"
"3403",106570,"Lonicera implexa","Caprifoliaceae","P"
"3404",106571,"Lonicera japonica","Caprifoliaceae","J"
"3405",106574,"Lonicera nigra","Caprifoliaceae","P"
"3406",106581,"Lonicera periclymenum","Caprifoliaceae","P"
"3407",106583,"Lonicera pyrenaica","Caprifoliaceae","P"
"3408",106588,"Lonicera tatarica","Caprifoliaceae","M"
"3409",106595,"Lonicera xylosteum","Caprifoliaceae","P"
"3410",106634,"Lotus angustissimus","Fabaceae","P"
"3411",106645,"Lotus castellanus","Fabaceae","M"
"3412",106651,"Lotus conimbricensis","Fabaceae","P"
"3413",106653,"Lotus corniculatus","Fabaceae","P"
"3414",106656,"Lotus creticus","Fabaceae","P"
"3415",106657,"Lotus cytisoides","Fabaceae","P"
"3416",106664,"Lotus dorycnium","Fabaceae","P"
"3417",106666,"Lotus edulis","Fabaceae","P"
"3418",106719,"Lotus tenuis","Fabaceae","P"
"3419",610901,"Lotus herbaceus","Fabaceae","P"
"3420",106677,"Lotus hirsutus","Fabaceae","P"
"3421",106678,"Lotus hispidus","Fabaceae","P"
"3422",811201,"Lotus jordanii","Fabaceae","P"
"3423",106685,"Lotus maritimus","Fabaceae","P"
"3424",106694,"Lotus ornithopodioides","Fabaceae","P"
"3425",106696,"Lotus parviflorus","Fabaceae","P"
"3426",106698,"Lotus pedunculatus","Fabaceae","P"
"3427",106708,"Lotus rectus","Fabaceae","P"
"3428",106720,"Lotus tetragonolobus","Fabaceae","P"
"3429",106742,"Ludwigia grandiflora","Onagraceae","J"
"3430",106747,"Ludwigia palustris","Onagraceae","P"
"3431",106748,"Ludwigia peploides","Onagraceae","J"
"3432",106754,"Lunaria annua","Brassicaceae","I"
"3433",106761,"Lunaria rediviva","Brassicaceae","P"
"3434",106765,"Lupinus albus","Fabaceae","M"
"3435",106766,"Lupinus angustifolius","Fabaceae","P"
"3436",106767,"Lupinus arboreus","Fabaceae","I"
"3437",106780,"Lupinus luteus","Fabaceae","I"
"3438",106784,"Lupinus micranthus","Fabaceae","P"
"3439",106789,"Lupinus polyphyllus","Fabaceae","D"
"3440",106807,"Luronium natans","Alismataceae","P"
"3441",106812,"Luzula alpina","Juncaceae","P"
"3442",106813,"Luzula alpinopilosa","Juncaceae","P"
"3443",106818,"Luzula campestris","Juncaceae","P"
"3444",106823,"Luzula congesta","Juncaceae","P"
"3445",106825,"Luzula desvauxii","Juncaceae","P"
"3446",106828,"Luzula forsteri","Juncaceae","P"
