"","CD_REF","LB_NOM","FAMILLE","FR"
"1315",91684,"Cistus laurifolius","Cistaceae","P"
"1316",91692,"Cistus monspeliensis","Cistaceae","P"
"1317",91707,"Cistus populifolius","Cistaceae","P"
"1318",91708,"Cistus pouzolzii","Cistaceae","P"
"1319",91715,"Cistus salviifolius","Cistaceae","P"
"1320",91727,"Cistus umbellatus","Cistaceae","P"
"1321",611303,"Citrullus colocynthis","Cucurbitaceae","M"
"1322",91800,"Citrullus lanatus","Cucurbitaceae","M"
"1323",91819,"Cladanthus mixtus","Asteraceae","P"
"1324",91823,"Cladium mariscus","Cyperaceae","P"
"1325",91848,"Claytonia perfoliata","Montiaceae","I"
"1326",91853,"Clematis alpina","Ranunculaceae","P"
"1327",91862,"Clematis cirrhosa","Ranunculaceae","P"
"1328",91867,"Clematis flammula","Ranunculaceae","P"
"1329",91880,"Clematis recta","Ranunculaceae","P"
"1330",91886,"Clematis vitalba","Ranunculaceae","P"
"1331",91887,"Clematis viticella","Ranunculaceae","I"
"1332",970955,"Ziziphora acinos","Lamiaceae","P"
"1333",970954,"Ziziphora corsica","Lamiaceae","E"
"1334",91904,"Clinopodium grandiflorum","Lamiaceae","P"
"1335",91910,"Clinopodium nepeta","Lamiaceae","P"
"1336",91912,"Clinopodium vulgare","Lamiaceae","P"
"1337",611703,"Clypeola cyclodontea","Brassicaceae","M"
"1338",91930,"Clypeola jonthlaspi","Brassicaceae","P"
"1339",91941,"Cneorum tricoccon","Rutaceae","P"
"1340",92026,"Cochlearia aestuaria","Brassicaceae","P"
"1341",92029,"Cochlearia anglica","Brassicaceae","P"
"1342",92038,"Cochlearia danica","Brassicaceae","P"
"1343",92052,"Cochlearia officinalis","Brassicaceae","P"
"1344",92054,"Cochlearia pyrenaica","Brassicaceae","P"
"1345",92097,"Coeloglossum viride","Orchidaceae","P"
"1346",92106,"Coincya monensis","Brassicaceae","P"
"1347",92107,"Coincya richeri","Brassicaceae","P"
"1348",92114,"Coix lacryma-jobi","Poaceae","M"
"1349",92124,"Colchicum alpinum","Colchicaceae","P"
"1350",159903,"Colchicum arenasii","Colchicaceae","E"
"1351",92127,"Colchicum autumnale","Colchicaceae","P"
"1352",92132,"Colchicum bulbocodium","Colchicaceae","P"
"1353",92136,"Colchicum corsicum","Colchicaceae","E"
"1354",92138,"Colchicum cupanii","Colchicaceae","I"
"1355",92139,"Colchicum filifolium","Colchicaceae","P"
"1356",92146,"Colchicum longifolium","Colchicaceae","P"
"1357",92148,"Colchicum montanum","Colchicaceae","P"
"1358",717143,"Colchicum nanum","Colchicaceae","S"
"1359",92171,"Coleanthus subtilis","Poaceae","P"
"1360",92175,"Coleostephus myconis","Asteraceae","P"
"1361",92179,"Collomia grandiflora","Polemoniaceae","I"
"1362",447722,"Colocasia esculenta","Araceae","I"
"1363",92196,"Colutea arborescens","Fabaceae","P"
"1364",92198,"Colutea brevialata","Fabaceae","P"
"1365",92217,"Comarum palustre","Rosaceae","P"
"1366",92220,"Comastoma tenellum","Gentianaceae","P"
"1367",92222,"Commelina communis","Commelinaceae","I"
"1368",92237,"Conium maculatum","Apiaceae","P"
"1369",92242,"Conopodium majus","Apiaceae","P"
"1370",92245,"Conopodium pyrenaeum","Apiaceae","P"
"1371",92254,"Conringia orientalis","Brassicaceae","P"
"1372",92282,"Convallaria majalis","Asparagaceae","P"
"1373",92297,"Convolvulus althaeoides","Convolvulaceae","P"
"1374",92302,"Convolvulus arvensis","Convolvulaceae","P"
"1375",92306,"Convolvulus betonicifolius","Convolvulaceae","I"
"1376",92308,"Convolvulus cantabrica","Convolvulaceae","P"
"1377",92316,"Convolvulus dubius","Convolvulaceae","I"
"1378",92329,"Convolvulus lanuginosus","Convolvulaceae","P"
"1379",92331,"Convolvulus lineatus","Convolvulaceae","P"
"1380",92348,"Convolvulus sabatius","Convolvulaceae","I"
"1381",92353,"Convolvulus sepium","Convolvulaceae","P"
"1382",92356,"Convolvulus siculus","Convolvulaceae","P"
"1383",92357,"Convolvulus silvaticus","Convolvulaceae","I"
"1384",92358,"Convolvulus soldanella","Convolvulaceae","P"
"1385",92364,"Convolvulus tricolor","Convolvulaceae","M"
"1386",92421,"Corallorhiza trifida","Orchidaceae","P"
"1387",92436,"Corema album","Ericaceae","I"
"1388",92449,"Coreopsis lanceolata","Asteraceae","I"
"1389",92453,"Coreopsis tinctoria","Asteraceae","M"
"1390",92465,"Coriandrum sativum","Apiaceae","I"
"1391",92467,"Coriaria myrtifolia","Coriariaceae","P"
"1392",92478,"Coris monspeliensis","Primulaceae","P"
"1393",92481,"Corispermum gallicum","Amaranthaceae","S"
"1394",611096,"Corispermum gmelinii","Amaranthaceae","I"
"1395",611097,"Corispermum pallasii","Amaranthaceae","I"
"1396",92486,"Coristospermum ferulaceum","Apiaceae","P"
"1397",92487,"Coristospermum lucidum","Apiaceae","P"
"1398",92497,"Cornus mas","Cornaceae","P"
"1399",92501,"Cornus sanguinea","Cornaceae","P"
"1400",159937,"Cornus sericea","Cornaceae","I"
"1401",92515,"Coronilla coronata","Fabaceae","P"
"1402",160432,"Coronilla cretica","Fabaceae","M"
"1403",92521,"Coronilla glauca","Fabaceae","P"
"1404",92525,"Coronilla juncea","Fabaceae","P"
"1405",92527,"Coronilla minima","Fabaceae","P"
"1406",92536,"Coronilla scorpioides","Fabaceae","P"
"1407",92537,"Coronilla securidaca","Fabaceae","P"
"1408",92543,"Coronilla vaginalis","Fabaceae","P"
"1409",92544,"Coronilla valentina","Fabaceae","P"
"1410",92546,"Coronilla varia","Fabaceae","P"
"1411",92566,"Corrigiola litoralis","Caryophyllaceae","P"
"1412",92567,"Corrigiola telephiifolia","Caryophyllaceae","P"
"1413",92572,"Cortaderia selloana","Poaceae","J"
"1414",92581,"Corydalis cava","Papaveraceae","P"
"1415",92589,"Corydalis intermedia","Papaveraceae","P"
"1416",92593,"Corydalis pumila","Papaveraceae","P"
"1417",92594,"Corydalis solida","Papaveraceae","P"
"1418",92606,"Corylus avellana","Betulaceae","P"
"1419",92609,"Corylus maxima","Betulaceae","M"
"1420",92613,"Corynephorus articulatus","Poaceae","P"
"1421",92614,"Corynephorus canescens","Poaceae","P"
"1422",92615,"Corynephorus divaricatus","Poaceae","P"
"1423",92619,"Cosentinia vellea","Pteridaceae","P"
"1424",92623,"Cosmos bipinnatus","Asteraceae","M"
"1425",92624,"Cosmos sulphureus","Asteraceae","M"
"1426",92627,"Cota altissima","Asteraceae","P"
"1427",92629,"Cota tinctoria","Asteraceae","P"
"1428",92630,"Cota triumfetti","Asteraceae","P"
"1429",92631,"Cotinus coggygria","Anacardiaceae","P"
"1430",92642,"Cotoneaster bullatus","Rosaceae","M"
"1431",717150,"Cotoneaster coriaceus","Rosaceae","I"
"1432",92649,"Cotoneaster dammeri","Rosaceae","M"
"1433",92651,"Cotoneaster delphinensis","Rosaceae","P"
"1434",92652,"Cotoneaster dielsianus","Rosaceae","M"
"1435",92654,"Cotoneaster divaricatus","Rosaceae","I"
"1436",92658,"Cotoneaster franchetii","Rosaceae","I"
"1437",92663,"Cotoneaster horizontalis","Rosaceae","I"
"1438",92667,"Cotoneaster integerrimus","Rosaceae","P"
"1439",92668,"Cotoneaster integrifolius","Rosaceae","M"
"1440",717152,"Cotoneaster nebrodensis","Rosaceae","P"
"1441",92698,"Cotoneaster pyrenaicus","Rosaceae","P"
"1442",92700,"Cotoneaster raboutensis","Rosaceae","E"
"1443",92704,"Cotoneaster salicifolius","Rosaceae","M"
"1444",993912,"Cotoneaster symondsii","Rosaceae","I"
"1445",92710,"Cotoneaster tomentosus","Rosaceae","P"
"1446",717153,"Cotoneaster uniflorus","Rosaceae","P"
"1447",92722,"Cotula australis","Asteraceae","I"
"1448",92723,"Cotula coronopifolia","Asteraceae","I"
"1449",92734,"Cotyledon orbiculata","Crassulaceae","I"
"1450",92782,"Crambe maritima","Brassicaceae","P"
"1451",159610,"Crassula alata","Crassulaceae","P"
"1452",92793,"Crassula helmsii","Crassulaceae","I"
"1453",92799,"Crassula muscosa","Crassulaceae","I"
"1454",92806,"Crassula tillaea","Crassulaceae","P"
"1455",92807,"Crassula vaillantii","Crassulaceae","P"
"1456",92824,"Crataegus azarolus","Rosaceae","I"
"1457",92840,"Crataegus crus-galli","Rosaceae","I"
"1458",92854,"Crataegus germanica","Rosaceae","I"
"1459",92864,"Crataegus laevigata","Rosaceae","P"
"1460",92876,"Crataegus monogyna","Rosaceae","P"
"1461",92900,"Crataegus rosiformis","Rosaceae","P"
"1462",92996,"Crepis albida","Asteraceae","P"
"1463",93004,"Crepis aurea","Asteraceae","P"
"1464",93014,"Crepis bellidifolia","Asteraceae","P"
"1465",93015,"Crepis biennis","Asteraceae","P"
"1466",93020,"Crepis bursifolia","Asteraceae","I"
"1467",93023,"Crepis capillaris","Asteraceae","P"
"1468",93027,"Crepis conyzifolia","Asteraceae","P"
"1469",93036,"Crepis dioscoridis","Asteraceae","I"
"1470",93045,"Crepis foetida","Asteraceae","P"
"1471",93075,"Crepis lampsanoides","Asteraceae","P"
"1472",93079,"Crepis leontodontoides","Asteraceae","P"
"1473",93086,"Crepis micrantha","Asteraceae","I"
"1474",93088,"Crepis mollis","Asteraceae","P"
"1475",93097,"Crepis nicaeensis","Asteraceae","P"
"1476",93101,"Crepis paludosa","Asteraceae","P"
"1477",611105,"Crepis pontana","Asteraceae","P"
"1478",93112,"Crepis praemorsa","Asteraceae","P"
"1479",93114,"Crepis pulchra","Asteraceae","P"
"1480",93115,"Crepis pygmaea","Asteraceae","P"
"1481",93116,"Crepis pyrenaica","Asteraceae","P"
"1482",93122,"Crepis rhaetica","Asteraceae","P"
"1483",93125,"Crepis rubra","Asteraceae","M"
"1484",93129,"Crepis sancta","Asteraceae","I"
"1485",93134,"Crepis setosa","Asteraceae","P"
"1486",93140,"Crepis suffreniana","Asteraceae","P"
"1487",93144,"Crepis tectorum","Asteraceae","I"
"1488",93157,"Crepis vesicaria","Asteraceae","P"
"1489",93167,"Crepis zacintha","Asteraceae","P"
"1490",93171,"Cressa cretica","Convolvulaceae","P"
"1491",93190,"Crithmum maritimum","Apiaceae","P"
"1492",93217,"Crocus corsicus","Iridaceae","P"
"1493",93236,"Crocus ligusticus","Iridaceae","S"
"1494",93243,"Crocus minimus","Iridaceae","P"
"1495",1040317,"Crocus neglectus","Iridaceae","Y"
"1496",93250,"Crocus nudiflorus","Iridaceae","P"
"1497",93282,"Crocus vernus","Iridaceae","P"
"1498",93284,"Crocus versicolor","Iridaceae","P"
"1499",93295,"Crucianella angustifolia","Rubiaceae","P"
"1500",93297,"Crucianella latifolia","Rubiaceae","P"
"1501",93298,"Crucianella maritima","Rubiaceae","P"
"1502",93307,"Cruciata glabra","Rubiaceae","P"
"1503",93308,"Cruciata laevipes","Rubiaceae","P"
"1504",93309,"Cruciata pedemontana","Rubiaceae","P"
"1505",93442,"Crupina crupinastrum","Asteraceae","P"
"1506",93449,"Crupina vulgaris","Asteraceae","P"
"1507",1015899,"Sporobolus aculeatus","Poaceae","P"
"1508",1015901,"Sporobolus alopecuroides","Poaceae","P"
"1509",1015904,"Sporobolus schoenoides","Poaceae","P"
"1510",93469,"Cryptogramma crispa","Pteridaceae","P"
"1511",93555,"Cucurbita pepo","Cucurbitaceae","M"
"1512",93564,"Cuminum cyminum","Apiaceae","M"
"1513",1030434,"Hesperocyparis arizonica","Cupressaceae","I"
"1514",1030444,"Hesperocyparis macrocarpa","Cupressaceae","I"
"1515",93590,"Cupressus sempervirens","Cupressaceae","I"
"1516",93601,"Cuscuta approximata","Convolvulaceae","P"
"1517",93613,"Cuscuta campestris","Convolvulaceae","I"
"1518",93620,"Cuscuta epilinum","Convolvulaceae","Y"
"1519",93621,"Cuscuta epithymum","Convolvulaceae","P"
"1520",93623,"Cuscuta europaea","Convolvulaceae","P"
"1521",93637,"Cuscuta monogyna","Convolvulaceae","P"
"1522",93640,"Cuscuta planiflora","Convolvulaceae","P"
"1523",93644,"Cuscuta scandens","Convolvulaceae","P"
"1524",93648,"Cuscuta suaveolens","Convolvulaceae","I"
"1525",619194,"Cutandia maritima","Poaceae","P"
"1526",610678,"Cyanus depressus","Asteraceae","M"
"1527",717745,"Cyanus graminifolius","Asteraceae","P"
"1528",717746,"Cyanus lugdunensis","Asteraceae","P"
"1529",93673,"Cyanus montanus","Asteraceae","P"
"1530",93680,"Cyanus segetum","Asteraceae","P"
"1531",717747,"Cyanus semidecurrens","Asteraceae","P"
"1532",93682,"Cyanus triumfetti","Asteraceae","P"
"1533",93695,"Cyclamen balearicum","Primulaceae","P"
"1534",93699,"Cyclamen hederifolium","Primulaceae","P"
"1535",93708,"Cyclamen purpurascens","Primulaceae","P"
"1536",93710,"Cyclamen repandum","Primulaceae","P"
"1537",1022313,"Dysphania atriplicifolia","Amaranthaceae","I"
"1538",93723,"Cyclospermum leptophyllum","Apiaceae","I"
"1539",93734,"Cydonia oblonga","Rosaceae","I"
"1540",93755,"Cymbalaria aequitriloba","Plantaginaceae","P"
"1541",93762,"Cymbalaria hepaticifolia","Plantaginaceae","P"
"1542",93763,"Cymbalaria muralis","Plantaginaceae","I"
"1543",93774,"Cymodocea nodosa","Cymodoceaceae","P"
"1544",93777,"Cynanchum acutum","Apocynaceae","P"
"1545",93783,"Cynara cardunculus","Asteraceae","P"
"1546",93795,"Cynara scolymus","Asteraceae","M"
"1547",93803,"Cynodon dactylon","Poaceae","P"
"1548",93828,"Cynoglossum creticum","Boraginaceae","P"
"1549",93829,"Cynoglossum dioscoridis","Boraginaceae","P"
"1550",93830,"Cynoglossum germanicum","Boraginaceae","P"
"1551",611749,"Cynoglossum montanum","Boraginaceae","P"
"1552",93840,"Cynoglossum officinale","Boraginaceae","P"
"1553",93844,"Cynoglossum pustulatum","Boraginaceae","P"
"1554",93854,"Cynomorium coccineum","Cynomoriaceae","P"
"1555",93860,"Cynosurus cristatus","Poaceae","P"
"1556",93864,"Cynosurus echinatus","Poaceae","P"
"1557",93865,"Cynosurus effusus","Poaceae","P"
"1558",674685,"Cyperus alternifolius","Cyperaceae","I"
"1559",93898,"Cyperus badius","Cyperaceae","P"
"1560",93906,"Cyperus capitatus","Cyperaceae","P"
"1561",93913,"Cyperus congestus","Cyperaceae","M"
"1562",93918,"Cyperus difformis","Cyperaceae","I"
"1563",93923,"Cyperus eragrostis","Cyperaceae","I"
"1564",93924,"Cyperus esculentus","Cyperaceae","P"
"1565",93929,"Cyperus flavescens","Cyperaceae","P"
"1566",93930,"Cyperus flavidus","Cyperaceae","P"
"1567",93936,"Cyperus fuscus","Cyperaceae","P"
"1568",93938,"Cyperus glomeratus","Cyperaceae","I"
"1569",93954,"Cyperus involucratus","Cyperaceae","I"
"1570",93961,"Cyperus laevigatus","Cyperaceae","W"
"1571",93967,"Cyperus longus","Cyperaceae","P"
"1572",888128,"Cyperus michelianus","Cyperaceae","P"
"1573",94007,"Cyperus reflexus","Cyperaceae","I"
"1574",94011,"Cyperus rotundus","Cyperaceae","P"
"1575",94013,"Cyperus schweinitzii","Cyperaceae","I"
"1576",94014,"Cyperus serotinus","Cyperaceae","P"
"1577",94041,"Cypripedium calceolus","Orchidaceae","P"
"1578",94045,"Cyrtomium falcatum","Dryopteridaceae","I"
"1579",94046,"Cyrtomium fortunei","Dryopteridaceae","I"
"1580",94066,"Cystopteris fragilis","Cystopteridaceae","P"
"1581",94068,"Cystopteris montana","Cystopteridaceae","P"
"1582",94079,"Cytinus hypocistis","Cytinaceae","P"
"1583",94092,"Cytisophyllum sessilifolium","Fabaceae","P"
"1584",94098,"Cytisus arboreus","Fabaceae","P"
"1585",94099,"Cytisus ardoinoi","Fabaceae","E"
"1586",94111,"Cytisus decumbens","Fabaceae","P"
"1587",94114,"Cytisus elongatus","Fabaceae","P"
"1588",94123,"Cytisus hirsutus","Fabaceae","P"
"1589",717159,"Cytisus infestus","Fabaceae","P"
"1590",792094,"Cytisus laniger","Fabaceae","P"
"1591",94136,"Cytisus lotoides","Fabaceae","P"
"1592",94142,"Cytisus multiflorus","Fabaceae","I"
"1593",94145,"Cytisus oromediterraneus","Fabaceae","P"
"1594",94153,"Cytisus polytrichus","Fabaceae","P"
"1595",94164,"Cytisus scoparius","Fabaceae","P"
"1596",94167,"Cytisus spinosus","Fabaceae","P"
"1597",94168,"Cytisus striatus","Fabaceae","I"
"1598",94174,"Cytisus triflorus","Fabaceae","P"
"1599",94177,"Cytisus villosus","Fabaceae","P"
"1600",94195,"Daboecia cantabrica","Ericaceae","P"
"1601",94207,"Dactylis glomerata","Poaceae","P"
"1602",94247,"Dactylorhiza brennensis","Orchidaceae","E"
"1603",94252,"Dactylorhiza elata","Orchidaceae","P"
"1604",94257,"Dactylorhiza fuchsii","Orchidaceae","P"
"1605",94259,"Dactylorhiza incarnata","Orchidaceae","P"
"1606",619224,"Dactylorhiza insularis","Orchidaceae","P"
"1607",94266,"Dactylorhiza maculata","Orchidaceae","P"
"1608",94267,"Dactylorhiza majalis","Orchidaceae","P"
"1609",94273,"Dactylorhiza praetermissa","Orchidaceae","P"
"1610",94278,"Dactylorhiza saccifera","Orchidaceae","P"
"1611",94279,"Dactylorhiza sambucina","Orchidaceae","P"
"1612",94283,"Dactylorhiza sphagnicola","Orchidaceae","P"
"1613",94287,"Dactylorhiza traunsteineri","Orchidaceae","P"
"1614",94388,"Damasonium alisma","Alismataceae","P"
"1615",94392,"Damasonium polyspermum","Alismataceae","P"
"1616",160113,"Danae racemosa","Asparagaceae","M"
"1617",94398,"Danthonia alpina","Poaceae","P"
"1618",94402,"Danthonia decumbens","Poaceae","P"
"1619",94411,"Daphne alpina","Thymelaeaceae","P"
"1620",94423,"Daphne cneorum","Thymelaeaceae","P"
"1621",94427,"Daphne gnidium","Thymelaeaceae","P"
"1622",94432,"Daphne laureola","Thymelaeaceae","P"
"1623",94435,"Daphne mezereum","Thymelaeaceae","P"
"1624",94437,"Daphne oleoides","Thymelaeaceae","P"
"1625",94449,"Daphne striata","Thymelaeaceae","P"
"1626",94464,"Dasiphora fruticosa","Rosaceae","P"
"1627",94473,"Dasypyrum villosum","Poaceae","P"
"1628",94479,"Datura ferox","Solanaceae","I"
"1629",94489,"Datura stramonium","Solanaceae","I"
"1630",611231,"Datura wrightii","Solanaceae","M"
"1631",94497,"Daucus aureus","Apiaceae","M"
"1632",611233,"Daucus bicolor","Apiaceae","I"
"1633",94503,"Daucus carota","Apiaceae","P"
"1634",611234,"Daucus crinitus","Apiaceae","M"
"1635",94515,"Daucus glochidiatus","Apiaceae","M"
"1636",611235,"Daucus gracilis","Apiaceae","M"
"1637",611236,"Daucus guttatus","Apiaceae","M"
"1638",611238,"Daucus littoralis","Apiaceae","M"
"1639",611232,"Daucus montevidensis","Apiaceae","M"
"1640",94539,"Daucus muricatus","Apiaceae","M"
"1641",611237,"Daucus sahariensis","Apiaceae","M"
"1642",94560,"Delairea odorata","Asteraceae","I"
"1643",94562,"Delosperma cooperi","Aizoaceae","I"
"1644",94567,"Delphinium ajacis","Ranunculaceae","P"
"1645",94572,"Delphinium consolida","Ranunculaceae","P"
"1646",94578,"Delphinium dubium","Ranunculaceae","P"
"1647",94579,"Delphinium elatum","Ranunculaceae","P"
"1648",94580,"Delphinium fissum","Ranunculaceae","P"
"1649",94590,"Delphinium montanum","Ranunculaceae","S"
"1650",161239,"Delphinium orientale","Ranunculaceae","I"
"1651",94599,"Delphinium pubescens","Ranunculaceae","P"
"1652",94606,"Delphinium verdunense","Ranunculaceae","P"
"1653",94626,"Deschampsia cespitosa","Poaceae","P"
"1654",94633,"Deschampsia media","Poaceae","P"
"1655",94645,"Descurainia sophia","Brassicaceae","P"
"1656",94646,"Descurainia tanacetifolia","Brassicaceae","P"
"1657",94653,"Dethawia splendens","Apiaceae","P"
"1658",94664,"Deutzia scabra","Hydrangeaceae","M"
"1659",94693,"Dianthus armeria","Caryophyllaceae","P"
"1660",717164,"Dianthus arrostoi","Caryophyllaceae","P"
"1661",94697,"Dianthus balbisii","Caryophyllaceae","P"
"1662",94698,"Dianthus barbatus","Caryophyllaceae","P"
"1663",94699,"Dianthus benearnensis","Caryophyllaceae","P"
"1664",94716,"Dianthus carthusianorum","Caryophyllaceae","P"
"1665",94717,"Dianthus caryophyllus","Caryophyllaceae","I"
"1666",94728,"Dianthus deltoides","Caryophyllaceae","P"
"1667",94743,"Dianthus furcatus","Caryophyllaceae","P"
"1668",94744,"Dianthus gallicus","Caryophyllaceae","P"
"1669",94748,"Dianthus geminiflorus","Caryophyllaceae","E"
"1670",94753,"Dianthus godronianus","Caryophyllaceae","P"
"1671",94755,"Dianthus graniticus","Caryophyllaceae","P"
"1672",94756,"Dianthus gratianopolitanus","Caryophyllaceae","P"
"1673",94759,"Dianthus gyspergerae","Caryophyllaceae","E"
"1674",94765,"Dianthus hyssopifolius","Caryophyllaceae","P"
"1675",94774,"Dianthus longicaulis","Caryophyllaceae","P"
"1676",94793,"Dianthus pavonius","Caryophyllaceae","P"
"1677",94803,"Dianthus pungens","Caryophyllaceae","P"
"1678",94804,"Dianthus pyrenaicus","Caryophyllaceae","P"
"1679",94818,"Dianthus saxicola","Caryophyllaceae","P"
"1680",94820,"Dianthus scaber","Caryophyllaceae","P"
"1681",94822,"Dianthus seguieri","Caryophyllaceae","P"
"1682",94830,"Dianthus subacaulis","Caryophyllaceae","P"
"1683",94833,"Dianthus superbus","Caryophyllaceae","P"
"1684",94848,"Dianthus vigoi","Caryophyllaceae","P"
"1685",610579,"Diatelia tuberaria","Cistaceae","P"
"1686",620096,"Lamprocapnos spectabilis","Papaveraceae","M"
"1687",94908,"Dichanthelium acuminatum","Poaceae","I"
"1688",94919,"Dichondra micrantha","Convolvulaceae","I"
"1689",717749,"Dichoropetalum carvifolia","Apiaceae","P"
"1690",717750,"Dichoropetalum schottii","Apiaceae","P"
"1691",94923,"Dictamnus albus","Rutaceae","P"
"1692",94942,"Digitalis grandiflora","Plantaginaceae","P"
"1693",94945,"Digitalis lutea","Plantaginaceae","P"
"1694",94959,"Digitalis purpurea","Plantaginaceae","P"
"1695",94969,"Digitaria aequiglumis","Poaceae","I"
"1696",94972,"Digitaria ciliaris","Poaceae","I"
"1697",94975,"Digitaria debilis","Poaceae","I"
"1698",94985,"Digitaria ischaemum","Poaceae","P"
"1699",94995,"Digitaria sanguinalis","Poaceae","P"
"1700",446295,"Digitaria violascens","Poaceae","I"
"1701",95020,"Dimorphotheca pluvialis","Asteraceae","M"
"1702",95022,"Dimorphotheca sinuata","Asteraceae","M"
"1703",95026,"Dinebra retroflexa","Poaceae","M"
"1704",611652,"Dioscorea communis","Dioscoreaceae","P"
"1705",95046,"Dioscorea pyrenaica","Dioscoreaceae","S"
"1706",1003150,"Diospyros kaki","Ebenaceae","M"
"1707",95048,"Diospyros lotus","Ebenaceae","I"
"1708",611108,"Diospyros virginiana","Ebenaceae","I"
"1709",95055,"Dipcadi serotinum","Asparagaceae","P"
"1710",95073,"Diplachne fusca","Poaceae","I"
"1711",95108,"Diplotaxis catholica","Brassicaceae","I"
"1712",95111,"Diplotaxis erucoides","Brassicaceae","P"
"1713",95122,"Diplotaxis muralis","Brassicaceae","P"
"1714",95136,"Diplotaxis tenuifolia","Brassicaceae","P"
"1715",95141,"Diplotaxis viminea","Brassicaceae","P"
"1716",95147,"Dipsacus ferox","Caprifoliaceae","P"
"1717",95149,"Dipsacus fullonum","Caprifoliaceae","P"
"1718",95151,"Dipsacus laciniatus","Caprifoliaceae","P"
"1719",95154,"Dipsacus pilosus","Caprifoliaceae","P"
"1720",95155,"Dipsacus sativus","Caprifoliaceae","M"
"1721",95175,"Distichlis spicata","Poaceae","I"
"1722",160253,"Distichoselinum tenuifolium","Apiaceae","I"
"1723",95186,"Dittrichia graveolens","Asteraceae","P"
"1724",95187,"Dittrichia viscosa","Asteraceae","P"
"1725",95209,"Doronicum austriacum","Asteraceae","P"
"1726",95215,"Doronicum clusii","Asteraceae","P"
"1727",95221,"Doronicum corsicum","Asteraceae","P"
"1728",95225,"Doronicum grandiflorum","Asteraceae","P"
"1729",95239,"Doronicum pardalianches","Asteraceae","P"
"1730",95240,"Doronicum plantagineum","Asteraceae","P"
"1731",95285,"Dorycnopsis gerardi","Fabaceae","P"
"1732",95289,"Draba aizoides","Brassicaceae","P"
"1733",95312,"Draba dubia","Brassicaceae","P"
"1734",95313,"Draba fladnizensis","Brassicaceae","P"
"1735",95322,"Draba hoppeana","Brassicaceae","P"
"1736",95323,"Draba incana","Brassicaceae","P"
"1737",95333,"Draba loiseleurii","Brassicaceae","E"
"1738",95337,"Draba muralis","Brassicaceae","P"
"1739",95340,"Draba nemorosa","Brassicaceae","P"
"1740",95356,"Draba siliquosa","Brassicaceae","P"
"1741",95365,"Draba subnivalis","Brassicaceae","S"
"1742",95368,"Draba tomentosa","Brassicaceae","P"
"1743",95372,"Draba verna","Brassicaceae","P"
"1744",95398,"Dracocephalum austriacum","Lamiaceae","P"
"1745",95405,"Dracocephalum moldavica","Lamiaceae","M"
"1746",95407,"Dracocephalum ruyschiana","Lamiaceae","P"
"1747",95410,"Dracocephalum thymiflorum","Lamiaceae","I"
"1748",95425,"Dracunculus vulgaris","Araceae","I"
"1749",95434,"Drosanthemum floribundum","Aizoaceae","I"
"1750",717165,"Drosanthemum hispidum","Aizoaceae","I"
"1751",95438,"Drosera intermedia","Droseraceae","P"
"1752",95436,"Drosera anglica","Droseraceae","P"
"1753",95442,"Drosera rotundifolia","Droseraceae","P"
"1754",95461,"Dryas octopetala","Rosaceae","P"
"1755",95462,"Drymocallis rupestris","Rosaceae","P"
"1756",95463,"Drymochloa sylvatica","Poaceae","P"
"1757",95546,"Dryopteris aemula","Dryopteridaceae","P"
"1758",95547,"Dryopteris affinis","Dryopteridaceae","P"
"1759",95550,"Dryopteris ardechensis","Dryopteridaceae","E"
"1760",95558,"Dryopteris carthusiana","Dryopteridaceae","P"
"1761",95561,"Dryopteris cristata","Dryopteridaceae","P"
"1762",95563,"Dryopteris dilatata","Dryopteridaceae","P"
"1763",611167,"Dryopteris erythrosora","Dryopteridaceae","M"
"1764",95566,"Dryopteris expansa","Dryopteridaceae","P"
"1765",95567,"Dryopteris filix-mas","Dryopteridaceae","P"
"1766",95581,"Dryopteris oreades","Dryopteridaceae","P"
"1767",95584,"Dryopteris pallida","Dryopteridaceae","P"
"1768",95589,"Dryopteris remota","Dryopteridaceae","P"
"1769",959103,"Dryopteris mindshelkensis","Dryopteridaceae","P"
"1770",95601,"Dryopteris tyrrhena","Dryopteridaceae","P"
"1771",95602,"Dryopteris villarii","Dryopteridaceae","P"
"1772",610583,"Dulichium arundinaceum","Cyperaceae","M"
"1773",611753,"Dysphania ambrosioides","Amaranthaceae","I"
"1774",611755,"Dysphania botrys","Amaranthaceae","P"
"1775",611760,"Dysphania multifida","Amaranthaceae","I"
"1776",611751,"Dysphania pumilio","Amaranthaceae","I"
"1777",95662,"Ecballium elaterium","Cucurbitaceae","P"
"1778",95666,"Echinaria capitata","Poaceae","P"
"1779",95669,"Echinochloa colona","Poaceae","I"
"1780",95671,"Echinochloa crus-galli","Poaceae","P"
"1781",619297,"Echinochloa hispidula","Poaceae","I"
"1782",95679,"Echinochloa muricata","Poaceae","I"
"1783",95681,"Echinochloa oryzicola","Poaceae","I"
"1784",95682,"Echinochloa oryzoides","Poaceae","I"
"1785",95697,"Echinophora spinosa","Apiaceae","P"
"1786",95700,"Echinops exaltatus","Asteraceae","I"
"1787",95709,"Echinops ritro","Asteraceae","P"
"1788",95713,"Echinops sphaerocephalus","Asteraceae","P"
"1789",95740,"Echium arenarium","Boraginaceae","P"
"1790",95741,"Echium asperrimum","Boraginaceae","P"
"1791",95771,"Echium parviflorum","Boraginaceae","P"
