CD_REF,Regroupement,REGNE,NOM_VALIDE,GBIF,AccSpeciesID,KEW_binomial_acc_name,PFAF_name,Comment
91910,Angiospermes,Plantae,"Clinopodium nepeta (L.) Kuntze, 1891",8916040,79111,Clinopodium nepeta,not_found,
91912,Angiospermes,Plantae,"Clinopodium vulgare L., 1753",2926945,13561,Clinopodium vulgare,Clinopodium vulgare,
92052,Angiospermes,Plantae,"Cochlearia officinalis L., 1753",5373276,13722,Cochlearia officinalis,Cochlearia officinalis,
92127,Angiospermes,Plantae,"Colchicum autumnale L., 1753",2739622,13878,Colchicum autumnale,Colchicum autumnale,
92196,Angiospermes,Plantae,"Colutea arborescens L., 1753",7844167,13980,Colutea arborescens,Colutea arborescens,
92237,Angiospermes,Plantae,"Conium maculatum L., 1753",3034807,14183,Conium maculatum,Conium maculatum,
92282,Angiospermes,Plantae,"Convallaria majalis L., 1753",7459480,14240,Convallaria majalis,Convallaria majalis,
92302,Angiospermes,Plantae,"Convolvulus arvensis L., 1753",2928390,14244,Convolvulus arvensis,Convolvulus arvensis,
92467,Angiospermes,Plantae,"Coriaria myrtifolia L., 1753",3701787,14515,Coriaria myrtifolia,Coriaria myrtifolia,
92497,Angiospermes,Plantae,"Cornus mas L., 1753",3082263,14580,Cornus mas,Cornus mas,
92501,Angiospermes,Plantae,"Cornus sanguinea L., 1753",3082234,14595,Cornus sanguinea,Cornus sanguinea,
92606,Angiospermes,Plantae,"Corylus avellana L., 1753",2875979,14688,Corylus avellana,Corylus avellana,
92631,Angiospermes,Plantae,"Cotinus coggygria Scop., 1771",3190522,14789,Cotinus coggygria,Cotinus coggygria,
92824,Angiospermes,Plantae,"Crataegus azarolus L., 1753",3013739,15060,Crataegus azarolus,Crataegus azarolus,
92864,Angiospermes,Plantae,"Crataegus laevigata (Poir.) DC., 1825",8252683,15080,Crataegus laevigata,Crataegus laevigata,
92876,Angiospermes,Plantae,"Crataegus monogyna Jacq., 1775",9220780,15090,Crataegus monogyna,Crataegus monogyna,
93045,Angiospermes,Plantae,"Crepis foetida L., 1753",5403470,15177,not_found,not_found,
93129,Angiospermes,Plantae,"Crepis sancta (L.) Bornm., 1913",5403605,15197,not_found,not_found,
93157,Angiospermes,Plantae,"Crepis vesicaria L., 1753",5403709,15206,Crepis vesicaria,not_found,
93190,Angiospermes,Plantae,"Crithmum maritimum L., 1753",3632234,15227,Crithmum maritimum,Crithmum maritimum,
93308,Angiospermes,Plantae,"Cruciata laevipes Opiz, 1852",5338920,15613,Cruciata laevipes,Cruciata laevipes,
93621,Angiospermes,Plantae,"Cuscuta epithymum (L.) L., 1774",2927518,15970,Cuscuta epithymum,Cuscuta epithymum,
93623,Angiospermes,Plantae,"Cuscuta europaea L., 1753",2927493,15971,Cuscuta europaea,not_found,
93673,Angiospermes,Plantae,"Cyanus montanus (L.) Hill, 1768",9023462,218825,Centaurea montana,Centaurea montana,
93708,Angiospermes,Plantae,"Cyclamen purpurascens Mill., 1768",3169315,16117,Cyclamen purpurascens,not_found,
93803,Angiospermes,Plantae,"Cynodon dactylon (L.) Pers., 1805",6109637,16277,Cynodon dactylon,Cynodon dactylon,
